频道名,地址,logo,tvg频道名,tvg国家,tcg语言,tvg分组,tvg-id,resolution
2026-06-24 00:14:28,https://vd2.bdstatic.com/mda-sctj0f6r4u1bpebc/1080p/cae_h264/1774706523506678171/mda-sctj0f6r4u1bpebc.mp4,,2026-06-24 00:14:28,,,,,
AMC音乐,https://AMChls.wns.live/hls/stream.m3u8,,AMC音乐,,,,,
CCTV-8K 超高清,https://tv.cry33.com/ys4k.php?id=8k,,CCTV-8K 超高清,,,,,
CCTV12,http://112.27.235.94:8000/hls/13/index.m3u8,,CCTV12,,,,,
CCTV12,http://124.165.251.82:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,,CCTV12,,,,,
CCTV13,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8,,CCTV13,,,,,
CCTV14,http://112.27.235.94:8000/hls/15/index.m3u8,,CCTV14,,,,,
CCTV2,http://112.27.235.94:8000/hls/2/index.m3u8,,CCTV2,,,,,
CCTV20241,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8,,CCTV20241,,,,,
CCTV3,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,,CCTV3,,,,,
CCTV5+,http://112.27.235.94:8000/hls/6/index.m3u8,,CCTV5+,,,,,
CCTV6,http://112.27.235.94:8000/hls/7/index.m3u8,,CCTV6,,,,,
CCTV8,http://124.165.251.82:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0,,CCTV8,,,,,
CGTN,https://0472.org/hls/cgtn.m3u8,,CGTN,,,,,
CGTN俄语,https://0472.org/hls/cgtne.m3u8,,CGTN俄语,,,,,
CGTN法语,https://0472.org/hls/cgtnf.m3u8,,CGTN法语,,,,,
CGTN纪录,https://0472.org/hls/cgtnd.m3u8,,CGTN纪录,,,,,
CGTN西语,https://0472.org/hls/cgtnx.m3u8,,CGTN西语,,,,,
CGTN阿语,https://0472.org/hls/cgtna.m3u8,,CGTN阿语,,,,,
www.izbds.com,https://vd2.bdstatic.com/mda-sctj0f6r4u1bpebc/1080p/cae_h264/1774706523506678171/mda-sctj0f6r4u1bpebc.mp4,,www.izbds.com,,,,,
上虞文化影院,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8?zzhed,,上虞文化影院,,,,,
上虞新商都,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8?zzhed,,上虞新商都,,,,,
上虞新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8?zzhed,,上虞新闻综合,,,,,
东丰,http://stream5.jlntv.cn/df/sd/live.m3u8?zjild,,东丰,,,,,
东南卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8,,东南卫视,,,,,
东方卫视,http://bp-resource-dfl.bestv.cn/155/3/video.m3u8,,东方卫视,,,,,
东方卫视,http://112.27.235.94:8000/hls/28/index.m3u8,,东方卫视,,,,,
东方卫视4K,https://bp-resource-dfl.bestv.cn/148/3/video.m3u8,,东方卫视4K,,,,,
东方卫视4K,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8,,东方卫视4K,,,,,
中国村庄,http://newcntv.qcloudcdn.com/asp/hls/4000/0303000a/3/default/93fc12dbf14241c18c23da104fbade23/4000.m3u8,,中国村庄,,,,,
中国蓝新闻,http://ali-m-l.cztv.com/channels/lantian/channel009/1080p.m3u8,,中国蓝新闻,,,,,
义乌新闻综合,https://44911.hlsplay.aodianyun.com/tv_radio_44911/tv_channel_1796.m3u8?auth_key=4830573978-0-0-92824c2c03f95906a3c49a4aa28f1709&extra_key=Yc1XsmxOKy2UBoPM4Wy5vCPsEYqnj06taCR2SRB2Xrg2w28NPilH03KdIbbM5wgSql-VBohSnoO9AOKl94q2t2DWMftz-XB-2qUX-UjXcS80StcSZahBFjrKLivXaRjiY5r2NOMKWMKFbv-S0Bz2G6iEXgCK8yGjtrFHDcPfAQEE0pvXq0Bwy34b7We8zARN&ali_ffmpeg_version=mpengine,,义乌新闻综合,,,,,
九台,http://stream10.jlntv.cn/jiutaitv/sd/live.m3u8?zjild,,九台,,,,,
