频道名,地址,logo,tvg频道名,tvg国家,tcg语言,tvg分组,tvg-id,resolution
[BD]rtv 1,rtmp://212.200.230.50:1935/RTV/rtv1,https://epg.pw/media/uploads/tmp_logo/2014/06/13/20140613181355730492_95.png,ART 1,Saudi Arabia,Saudi Arabia,Generic,,
[BD]cctv5 plus,http://cssbyd.imwork.net:8082/hls/6/index.m3u8,https://epg.pw/media/images/channel/2025/01/25/large/20250125001757126121_81.png,CCTV5+,China,China,Sports,,
[HD]dazn1,rtmp://f13h.mine.nu/sat/tv731,https://epg.pw/media/images/channel/2024/04/24/large/20240424024936868909_61.png,DAZN 1(TW),Taiwan,Taiwan,Sports,456576,
[HD]momo綜合,rtmp://f13h.mine.nu:1935/sat/tv761,https://epg.pw/media/images/channel/2022/02/10/large/20220210223019453563_65.png,MOMO綜合臺,Taiwan,Taiwan,Generic,,
[HD]momo综合,rtmp://f13h.mine.nu/sat/tv761,https://epg.pw/media/images/channel/2022/02/10/large/20220210223019453563_65.png,MOMO綜合臺,Taiwan,Taiwan,Generic,,
[VGA]中天新闻,rtmp://vip.huahong.pro/live/xingjiaoge-ztxw2,https://epg.pw/media/images/channel/2022/03/05/large/20220305151207450324_69.png,中天新聞FHD,Taiwan,Taiwan,News,370177,
[HD]中天新闻,rtmp://home.aceimage.cn/live/xiangjiaoge-ztxw,https://epg.pw/media/images/channel/2022/03/05/large/20220305151207450324_69.png,中天新聞FHD,Taiwan,Taiwan,News,370177,
[HD]中视,rtmp://f13h.mine.nu/sat/tv091,https://epg.pw/media/images/channel/2023/07/11/large/20230711221412936937_72.png,中視,Taiwan,Taiwan,Generic,370141,
[BD]南国都市,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de,https://epg.pw/media/images/channel/2023/07/19/large/20230719065040166476_47.jpg,南國都市,China,China,Generic,,
[HD]台视,rtmp://f13h.mine.nu/sat/tv071,https://epg.pw/media/images/channel/2023/07/24/large/20230724092817835507_62.png,台視HD,Taiwan,Taiwan,Generic,,
[HD]台视,rtmp://f13h.mine.nu:1935/sat/tv071,https://epg.pw/media/images/channel/2023/07/24/large/20230724092817835507_62.png,台視HD,Taiwan,Taiwan,Generic,,
[SD]哈尔滨娱乐,http://stream.hrbtv.net/ylpd/sd/live.m3u8?zheild,https://epg.pw/media/images/channel/2022/10/24/large/20221024220527879025_88.jpg,哈爾濱娛樂,China,China,Entertainment,,
[HD]四川卫视,http://124.116.183.146:9901/tsfile/live/0123_1.m3u8,https://epg.pw/media/images/channel/2022/05/28/large/20220528220452110808_30.jpg,四川衛視,China,China,Generic,,
[HD]安徽卫视,http://124.116.183.146:9901/tsfile/live/0130_1.m3u8,https://epg.pw/media/images/channel/2023/07/19/large/20230719113027191823_22.jpg,安徽衛視,China,China,Generic,,
[BD]山东卫视,http://222.169.85.8:9901/tsfile/live/0131_1.m3u8,https://epg.pw/media/images/channel/2023/07/19/large/20230719112946432101_81.jpg,山東衛視,China,China,Generic,,
[HD]山西卫视,http://112.27.235.94:8000/hls/45/index.m3u8,https://epg.pw/media/images/channel/2023/08/04/large/20230804221555254122_47.jpg,山西衛視,China,China,Generic,,
[HD]广东卫视,http://124.116.183.146:9901/tsfile/live/0125_1.m3u8,https://epg.pw/media/images/channel/2024/01/11/large/20240111225144968877_94.png,廣東衛視,China,China,Generic,,
[HD]东森超视,rtmp://f13h.mine.nu/sat/tv331,https://epg.pw/media/images/channel/2023/07/22/large/20230722105657399125_36.png,東森超視,Taiwan,Taiwan,Generic,456533,
[HD]民視,rtmp://f13h.mine.nu/sat/tv051,https://epg.pw/media/images/channel/2022/11/27/large/20221127000500162147_91.jpg,民視,Taiwan,Taiwan,Generic,,
[HD]河北卫视,https://tv.pull.hebtv.com/jishi/weishipindao.m3u8?t=1778827444&k=c6610eb8d7d54aa7415e37f888b8d4b2,https://epg.pw/media/images/channel/2022/05/31/large/20220531145616881844_72.jpg,河北衛視,China,China,Generic,,
[BD]河北卫视,http://112.27.235.94:8000/hls/39/index.m3u8,https://epg.pw/media/images/channel/2022/05/31/large/20220531145616881844_72.jpg,河北衛視,China,China,Generic,,
[BD]浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8,https://epg.pw/media/images/channel/2022/05/30/large/20220530220929501840_43.jpg,浙江經濟生活,China,China,Generic,,
[BD]浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8,https://epg.pw/media/images/channel/2024/03/11/large/20240311112431672505_47.png,浙江衛視,China,China,Generic,,
[HD]海南卫视,http://36.32.174.67:60080/newlive/live/hls/46/live.m3u8,https://epg.pw/media/images/channel/2021/09/13/large/20210913004059839717_73.png,海南衛視,China,China,Generic,,
[SD]湖南娱乐,"http://phonehwei.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZyYXV0aF9lbmFibGU9b2ZmJmNkbmV4X2lkPWh3X3Bob25lJmNocz0mZGVmPTEmcz1lMmVkODI0NGMyMDgzNTI2MmRhZDhhMWNmYWJkYTcyZSZ1aWQ9JnV1aWQ9ZjE5YjQyODcxNWMxYzhhMDUwNTVmOWQ2ZjJiYzQzNzYtNmEwZTI2Mzcmdj0yJmFzPTAmZXM9MTc3ODg0NjEyMQ,,/HNYLMPP360.m3u8",https://epg.pw/media/images/channel/2022/05/26/large/20220526213508482612_20.jpg,湖南娛樂,China,China,Entertainment,,
[SD]湖南经视,"http://phonehwei.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZyYXV0aF9lbmFibGU9b2ZmJmNkbmV4X2lkPWh3X3Bob25lJmNocz0mZGVmPTEmcz04YTFkYWVhNDU0YzEzYWIwYTUxMjhmOWIwZTA2YTE0ZCZ1aWQ9JnV1aWQ9YTU2MmU1ZjI0OWVhYzYxMTJkOTdmY2Y0NGE2ODE0NzktNmEwZTI2Mzcmdj0yJmFzPTAmZXM9MTc3ODg0MjU0NA,,/HNJSMPP360.m3u8",https://epg.pw/media/images/channel/2022/05/26/large/20220526142556787828_84.jpg,湖南經視,China,China,Generic,,
[SD]湖南电视剧,"http://phonehwei.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZyYXV0aF9lbmFibGU9b2ZmJmNkbmV4X2lkPWh3X3Bob25lJmNocz0mZGVmPTEmcz1kOTg1ZGFjYjA4ODRkZDczYmY4MTY4NTJmODE1NGQ1OCZ1aWQ9JnV1aWQ9ZTJhYTllYTZhNzNhNjdiM2QzYmQ5OWZlNmEyODM1YzAtNmEwZTI2Mzcmdj0yJmFzPTAmZXM9MTc3ODgzMzAzMg,,/HNDSJMPP360.m3u8",https://epg.pw/media/images/channel/2024/03/11/large/20240311111928211584_68.png,湖南電視劇,China,China,Movies,,
[BD]嵊州新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8?zzhed,https://epg.pw/media/images/channel/2022/11/01/large/20221101020031305070_25.jpg,湖州新聞綜合,China,China,News,,
[HD]纬来日本,rtmp://f13h.mine.nu/sat/tv771,https://epg.pw/media/images/channel/2023/07/22/large/20230722105459178241_22.png,緯來日本,Taiwan,Taiwan,Entertainment,456579,
[HD]緯來育樂,rtmp://f13h.mine.nu/sat/tv701,https://epg.pw/media/images/channel/2022/05/06/large/20220506164810377610_27.png,緯來育樂,Taiwan,Taiwan,Generic,,
[HD]纬来体育,rtmp://f13h.mine.nu:1935/sat/tv721,https://epg.pw/media/images/channel/2023/07/22/large/20230722105618864183_26.png,緯來體育,Taiwan,Taiwan,Sports,456575,
