频道名,地址,logo,tvg频道名,tvg国家,tcg语言,tvg分组,tvg-id,resolution
00s Replay,https://jmp2.uk/plu-62ba60f059624e000781c436.m3u8,,,,,Undefined,,
1-2-3 TV (270p),https://123tv-mx1.flex-cdn.net/index.m3u8,https://i.imgur.com/slSUDNX.png,,,,Shop,123tv.de@SD,
1Almere TV (720p),https://d3472rjicrodic.cloudfront.net/nlpo/clr-nlpo/709d5260/index.m3u8,https://i.imgur.com/XfkbTrU.png,,,,General,1AlmereTV.nl@SD,
1KZN TV (576p),https://cdn.freevisiontv.co.za/sttv/smil:1kzn.stream.smil/playlist.m3u8,https://admango.cdn.mangomolo.com/analytics/uploads/188/6544bebaae.jpg,,,,Entertainment;Family;General,1KZNTV.za@SD,
1S News (576p),https://mumt03.tangotv.in/1SNEWS/index.m3u8,,,,,Undefined,,
1TV (720p),https://tv.cdn.xsg.ge/gpb-1tv/index.m3u8,https://i.imgur.com/FSkYLPK.png,,,,General,1TV.ge@SD,
1Twente TV (1080p),https://ms7.mx-cd.net/dtv-11/198-989148/1Twente_TV.smil/chunklist_w954512639_b4292608_slNLD.m3u8,https://i.imgur.com/ftiuNK3.png,,,,General,1TwenteTV.nl@SD,
2GB Sydney (1080p),https://2gblive.akamaized.net/hls/live/2033805/2GB/index.m3u8,https://i.ibb.co/jwM8DFG/2GB-1.png,,,,News,2GB.au@SD,
2M Monde (360p),,https://i.imgur.com/MvpntzA.png,,,,General,2MMonde.ma@SD,
2M Monde +1 (1080p),https://d2qh3gh0k5vp3v.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-n6pess5lwbghr/2M_ES.m3u8,https://i.imgur.com/MvpntzA.png,,,,General,2MMonde.ma@Plus1,
2STV (720p),http://69.64.57.208/2stv/playlist.m3u8,https://i.imgur.com/WByVBZf.png,,,,Culture,2STV.sn@SD,
2TV (720p),https://tv.cdn.xsg.ge/gpb-2tv/index.m3u8,https://i.imgur.com/FJBL6zI.png,,,,General,2TV.ge@SD,
2x2 (576i),https://bl.rutube.ru/livestream/392b4686b770bae2da6bf5ac4574add5/index.m3u8?s=tenr-yHXUv1wibfka78s2A&e=2068731801&scheme=https,https://i.imgur.com/fhQFLEl.png,,,,Entertainment,2x2.ru@SD,
3ABN Canada (720p),https://3abn.bozztv.com/3abncanada/3ABN/master.m3u8,https://i.imgur.com/U99CsEc.png,,,,Religious,3ABNCanada.ca@SD,
3ABN Dare To Dream Network,https://3abn.bozztv.com/3abn2/d2d_live/smil:d2d_live.smil/playlist.m3u8,https://i.imgur.com/oNUpXA9.png,,,,Religious,DareToDreamNetwork.us@SD,
3ABN English,https://3abn.bozztv.com/3abn2/3abn_live/smil:3abn_live.smil/playlist.m3u8,https://i.imgur.com/bgJQIyW.png,,,,Religious,3ABNEnglish.us@SD,
3ABN French,https://3abn.bozztv.com/3abn2/Fre_live/smil:Fre_live.smil/playlist.m3u8,https://i.imgur.com/B5gsM7m.png,,,,Religious,3ABNFrench.us@SD,
3ABN International Network,https://3abn.bozztv.com/3abn2/Int_live/smil:Int_live.smil/playlist.m3u8,https://i.imgur.com/IecOZHR.png,,,,Religious,3ABNInternational.us@SD,
3ABN Kids Network,https://3abn.bozztv.com/3abn2/Kids_live/smil:Kids_live.smil/playlist.m3u8,https://i.imgur.com/z3npqO1.png,,,,Animation;Kids;Religious,3ABNKids.us@SD,
3ABN Latino,https://3abn.bozztv.com/3abn2/Lat_live/smil:Lat_live.smil/playlist.m3u8,https://i.imgur.com/Ugb4AFo.png,,,,Religious,3ABNLatino.us@SD,
3ABN Praise Him Music Network,https://3abn.bozztv.com/3abn1/PraiseHim/smil:PraiseHim.smil/playlist.m3u8,https://i.imgur.com/iBcqT8L.png,,,,Music;Religious,3ABNPraiseHimMusicNetwork.us@SD,
3ABN Proclaim! Network,https://3abn.bozztv.com/3abn2/Pro_live/smil:Pro_live.smil/playlist.m3u8,https://i.imgur.com/zUMUNhe.png,,,,Religious,3ABNProclaimNetwork.us@SD,
3ABN TV Uganda (720p) [Not 24/7],https://3abn.bozztv.com/3abn/3abn_uganda_live/index.m3u8,https://i.imgur.com/mml9lI2.png,,,,Religious,3ABNTVUganda.ug@SD,
3AW Melbourne (1080p),https://3awlive.akamaized.net/hls/live/2032295/3AW/index.m3u8,https://i.imgur.com/Z4MdB0S.png,,,,News,3AW.au@SD,
3Cat Càmeres del temps (1080p),https://directes-tv-int.3catdirectes.cat/live-content/beauties-hls/master.m3u8,https://i.imgur.com/zXy2kbe.png,,,,Public;Weather,3CatCameresdeltemps.es@SD,
3Cat El búnquer (1080p),https://fast-tailor.3catdirectes.cat/v1/channel/bunquer/hls.m3u8,https://i.imgur.com/wiqdIjd.png,,,,Comedy;Public,3CatElbunquer.es@SD,
3Cat Exclusiu 1 (1080p) [Geo-blocked],https://directes-tv-cat.3catdirectes.cat/live-content/oca1-hls/master.m3u8,https://i.imgur.com/YQvLPT1.png,,,,News;Public,3CatExclusiu1.es@SD,
3Cat Exclusiu 2 (1080p) [Geo-blocked],https://directes-tv-cat.3catdirectes.cat/live-content/oca2-hls/master.m3u8,https://i.imgur.com/YQvLPT1.png,,,,News;Public,3CatExclusiu2.es@SD,
3Cat Exclusiu 3 (1080p) [Geo-blocked],https://directes-tv-cat.3catdirectes.cat/live-content/oca3-hls/master.m3u8,https://i.imgur.com/YQvLPT1.png,,,,News;Public,3CatExclusiu3.es@SD,
3Cat Plats bruts (1080p),https://fast-tailor.3catdirectes.cat/v1/channel/ccma-channel2/hls.m3u8,https://i.imgur.com/49ZENis.png,,,,Classic;Comedy;Public;Series,3CatPlatsbruts.es@SD,
3CatInfo (1080p),https://directes-tv-int.3catdirectes.cat/live-origin/canal324-hls/master.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/3CatInfo_logo.svg/960px-3CatInfo_logo.svg.png,,,,News;Public,3CatInfo.es@SD,
3point.dk,https://jmp2.uk/plu-65b915780cb1a1000889b837.m3u8,,,,,Undefined,,
3sat (720p) [Geo-blocked],https://zdf-hls-18.akamaized.net/hls/live/2016501/dach/high/master.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/3sat_2019.svg/960px-3sat_2019.svg.png,,,,General,3sat.de@SD,
3sat HD (1080p) [Geo-Blocked],https://viamotionhsi.netplus.ch/live/eds/3sathd/browser-HLS8/3sathd.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/3sat_2019.svg/960px-3sat_2019.svg.png,,,,General,3sat.de@HD,
3 Stones TV (240p) [Not 24/7],https://goliveafrica.media:9998/live/64d21e682fd26/index.m3u8,https://i.imgur.com/im3g7T2.png,,,,General,3StonesTV.ke@SD,
"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Undefined"",4ACETV (1080p)",,,,,,Undefined,,
"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Undefined"",4ACETV CLASSIC HITS (1080p)",,,,,,Undefined,,
4 Afghanistan,https://4afghls.persiana.live/hls/stream.m3u8,,,,,Undefined,4Afghanistan.fr@SD,
4DmásNoticias TV (1080p) [Not 24/7],https://rds3.desdeparaguay.net/4dmasnoticiastv/4dmasnoticiastv/playlist.m3u8,https://i.ibb.co/1fb5BtN/unnamed.png,,,,News,4DmasNoticiasTV.py@SD,
4E (1080p),http://eu2.tv4e.gr:554/live/smil:myStream.sdp.smil/playlist.m3u8,https://i.imgur.com/Na0UCV7.png,,,,Religious,4E.gr@SD,
4 Fun Kids (576i) [[Not 24/7]],https://stream.4fun.tv:8889/hls/4fk_high/index.m3u8,https://i.imgur.com/2JO5Y8c.png,,,,Kids,4FunKids.pl@SD,
4 Fun TV (576i) [Not 24/7],https://stream.4fun.tv:8888/hls/4f_high/index.m3u8,https://i.imgur.com/rI1wo2l.png,,,,Music,4FunTV.pl@SD,
"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Undefined"",4K TRAVEL TV (1080p)",,,,,,Undefined,,
4K Travel TV (1080p),https://streams2.sofast.tv/sofastplayout/33c31ac4-51fa-46ae-afd0-0d1fe5e60a80_0_HLS/master.m3u8,,,,,Undefined,,
4 Kurd,https://4kuhls.persiana.live/hls/stream.m3u8,https://www.aparatchi.com/images/chanells-logo/4kurd.svg,,,,Music,4Kurd.fr@SD,
4TV News (576p),https://cdn-4.pishow.tv/live/1007/master.m3u8,https://jiotvimages.cdn.jio.com/dare_images/images/4_TV.png,,,,News,4TVNews.in@SD,
4U TV (720p),https://hls.4utv.live/hls/stream.m3u8,https://i.imgur.com/PexhKwp.png,,,,Entertainment,4UTV.tr@SD,
4UV (1080p),https://d3qg1liq0unuxm.cloudfront.net/4UV.m3u8,,,,,Undefined,,
5-Minute Craft (1080p),https://soul-5mincrafteng-rakuten.amagi.tv/playlist.m3u8,,,,,Undefined,,
5AAB TV (720p) [Not 24/7],http://158.69.124.9:1935/5aabtv/5aabtv/playlist.m3u8,https://i.imgur.com/jrGrfof.png,,,,Entertainment,5AABTV.ca@SD,
5 Cops,https://jmp2.uk/plu-5d2c571faeb3e2738ae27933.m3u8,https://i.imgur.com/QFPRaXK.png,,,,Series,5Cops.us@UK,
5 Emergency Rescue,https://jmp2.uk/plu-63c1384e829c850007922ca4.m3u8,,,,,Undefined,,
5 Exploring Britain,https://jmp2.uk/plu-5ddf901280e3550009139c86.m3u8,,,,,Undefined,,
5 Trucking Hell,https://jmp2.uk/plu-656df2849d5ac400083be647.m3u8,,,,,Undefined,,
5TV Corrientes (480p) [Not 24/7],http://www.coninfo.net:1935/tvcinco/live1/playlist.m3u8,https://i.imgur.com/mSn7ACs.png,,,,General,5tv.ar@SD,
6PR Perth (1080p),https://6prlive.akamaized.net/hls/live/2033806/6PR/index.m3u8,https://i.imgur.com/Q9iCxg1.png,,,,News,6PR.au@SD,
6ter (1080p) [Geo-blocked] [Geo-Blocked],https://viamotionhsi.netplus.ch/live/eds/6ter/browser-HLS8/6ter.m3u8,https://i.imgur.com/2nd5Cox.png,,,,Entertainment,6ter.fr@SD,
6 TV Telugu (576p),https://cdn-1.pishow.tv/live/232/master.m3u8,https://i.imgur.com/l3EcRnZ.png,,,,News,6TVTelugu.in@SD,
6 Wise Tv (720p),https://live.enhdtv.com:8081/8150/index.m3u8,https://jrlist70.pages.dev/list/wise.png,,,,Family,6WiseTv.us@SD,
7 RadioVisione (720p),https://stream10.xdevel.com/video1s976543-1932/stream/playlist.m3u8,https://radio7note.com/img/favicon/android-icon-192x192.png,,,,Music,7RadioVisione.it@HD,
7S Music (576p),https://mumt03.tangotv.in/7SMUSIC/index.m3u8,https://i.imgur.com/zDiIhdN.png,,,,Music,7SMusic.in@SD,
7 TeleValencia (576p),https://play.cdn.enetres.net/9E9557EFCEBB43A89CEC8FBD3C500247022/028/playlist.m3u8,https://i.imgur.com/ILfXDRs.png,,,,General,Canal7TeleValencia.es@SD,
7th Heaven,https://jmp2.uk/plu-6728c9c85534bb0008b320a4.m3u8,,,,,Undefined,,
7th Heaven,https://jmp2.uk/plu-6728ca75529ac9000830ab14.m3u8,,,,,Undefined,,
7th Heaven,https://jmp2.uk/plu-6728cab6e482950008b76d8c.m3u8,,,,,Undefined,,
7th Heaven,https://jmp2.uk/plu-68503cfda1e091e16f000625.m3u8,,,,,Undefined,,
7TV (576p),http://31.148.48.15/7TV/index.m3u8,https://i.imgur.com/GpCwqUF.png,,,,Undefined,Seven.ru@SD,
7 YOU & ME (720p),https://stream10.xdevel.com/video0s977798-2239/stream/playlist.m3u8,https://i.imgur.com/Rte2K3x.png,,,,Music,7YOUME.it@HD,
8 La Marina TV (576p),https://streaming005.gestec-video.com/hls/canal24.m3u8,https://i.imgur.com/BTJvvBK.png,,,,General,8LaMarinaTV.es@SD,
8NTV (1080p),https://60417ddeaf0d9.streamlock.net/ntv/videontv/playlist.m3u8,https://i.imgur.com/7ecgGIG.png,,,,General,8NTV.mx@SD,
8 Out Of 10 Cats (1080p),https://d1l7vcuh4hn9ei.cloudfront.net/8OutOf10Cats_GB.m3u8,,,,,Undefined,,
8 Out of 10 Cats (1080p) [Geo-blocked],https://amg00627-amg00627c37-samsung-au-4294.playouts.now.amagi.tv/playlist/amg00627-banijayfast-8outof10cats-samsungau/playlist.m3u8,,,,,Undefined,,
8 Out of 10 Cats (1080p) [Geo-blocked],https://amg00627-amg00627c37-samsung-nz-4295.playouts.now.amagi.tv/playlist.m3u8,,,,,Undefined,,
8TV,http://cdn6.163189.xyz/163189/8tv,https://i.imgur.com/Jkx9W88.png,,,,Entertainment,8TV.my@SD,
8XM (576p),http://115.42.65.142:9981/stream/channelid/582886861,https://i.imgur.com/KLrfKRn.png,,,,Music,8XM.pk@SD,
9Gem (720p) [Geo-blocked],https://9now-livestreams.akamaized.net/hls/live/2008311/gem-syd/master.m3u8,https://i.imgur.com/cwLzqaw.png,,,,Entertainment,9Gem.au@Sydney,
9Go! (720p) [Geo-blocked],https://9now-livestreams.akamaized.net/hls/live/2008312/go-syd/master.m3u8,https://i.imgur.com/RLijQI8.png,,,,Entertainment;Kids,9Go.au@Sydney,
9 la Loma TV (1080p) [Geo-blocked],https://9laloma.tv/live.m3u8,https://i.imgur.com/WQP3el2.png,,,,General,9laLomaTV.es@SD,
9Life (720p) [Geo-blocked],https://9now-livestreams.akamaized.net/hls/live/2008313/life-syd/master.m3u8,https://i.imgur.com/HlJOrGI.png,,,,Lifestyle,9Life.au@Sydney,
9X Jalwa (1080p),https://b.jsrdn.com/strm/channels/9xjalwa/master.m3u8,https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_9X_JALWA/images/LOGO_HD/image.png,,,,Music,9XJalwa.in@SD,
9X Jhakaas (1080p),https://9xjio.wiseplayout.com/9X_Jhakaas/master.m3u8,https://dtil.tmsimg.com/assets/s90012_ld_h15_aa.png?lock=720x540,,,,Music,9XJhakaas.in@SD,
9X Tashan (1080p),https://9xjio.wiseplayout.com/9X_Tashan/master.m3u8,https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_9X_TASHAN/images/LOGO_HD/image.png,,,,Music,9XTashan.in@SD,
