频道名,地址,logo,tvg频道名,tvg国家,tcg语言,tvg分组,tvg-id,resolution
CCTV1,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226163/1.m3u8,https://kakaxi-1.asia/LOGO/CCTV1.png,CCTV1,,,央视频道,,
CCTV2,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226122/1.m3u8,https://kakaxi-1.asia/LOGO/CCTV2.png,CCTV2,,,央视频道,,
CCTV3,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226165/1.m3u8,https://kakaxi-1.asia/LOGO/CCTV3.png,CCTV3,,,央视频道,,
CCTV4,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226124/1.m3u8,https://kakaxi-1.asia/LOGO/CCTV4.png,CCTV4,,,央视频道,,
CCTV5,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226146/1.m3u8,https://kakaxi-1.asia/LOGO/CCTV5.png,CCTV5,,,央视频道,,
CCTV6,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226148/1.m3u8,https://kakaxi-1.asia/LOGO/CCTV6.png,CCTV6,,,央视频道,,
CCTV7,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226143/1.m3u8,https://kakaxi-1.asia/LOGO/CCTV7.png,CCTV7,,,央视频道,,
CCTV8,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226167/1.m3u8,https://kakaxi-1.asia/LOGO/CCTV8.png,CCTV8,,,央视频道,,
CCTV10,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226169/1.m3u8,https://kakaxi-1.asia/LOGO/CCTV10.png,CCTV10,,,央视频道,,
CCTV11,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226145/1.m3u8,https://kakaxi-1.asia/LOGO/CCTV11.png,CCTV11,,,央视频道,,
CCTV12,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226126/1.m3u8,https://kakaxi-1.asia/LOGO/CCTV12.png,CCTV12,,,央视频道,,
CCTV13,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226128/1.m3u8,https://kakaxi-1.asia/LOGO/CCTV13.png,CCTV13,,,央视频道,,
