频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率.1,帧率,音频,ffprobe探测时间,检测次数,动态级别,平均抓帧时间,抓帧失败次数,出现最多次数phash的次数,出现最多次数的phash值
万州综合频道,http://123.146.162.24:8017/iTXwrGs/800/live.m3u8,,,,,,重庆,720x576,zbefine.txt,408,200,成功,h264,720x576,25.0,有音频,1.808,14,0,1.4254005893333215,0,42,fe00000000000000
东丰综合,http://stream5.jlntv.cn/df/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,245,200,成功,h264,720x576,25.0,有音频,2.228,14,198,2.6803811156666675,0,9,986b58352d9a563d
吉林市新闻综合,http://stream2.jlntv.cn/jilin1/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,278,200,成功,h264,720x576,25.0,有音频,2.345,14,111,2.212187717333336,0,3,85cab54af56a3594
四平新闻综合,http://stream2.jlntv.cn/sptv/sd/live.m3u8,,,,,,吉林,1280x720,zbefine.txt,477,200,成功,h264,1280x720,25.0,有音频,2.351,14,292,2.696528986666673,0,3,c4817b663ac51d1f
凉山彝语频道,http://file.yizu.tv/nmip-media/channellive/channel107323/playlist.m3u8,,,,,,四川,720x404,zbefine.txt,714,403,成功,h264,720x404,25.0,有音频,3.069,14,0,3.3225001776666736,0,42,f10db647e3888d9a
凉山新闻综合,http://file.yizu.tv/nmip-media/channellive/channel106606/playlist.m3u8,,,,,,四川,720x404,zbefine.txt,910,403,成功,h264,720x404,25.0,有音频,3.335,14,0,5.139232647666631,0,42,a59837324fa65b8c
新沂新闻频道,http://live.xysrmt.cn/xwzh/sd/live.m3u8,,,,,,江苏,1280x720,zbefine.txt,2331,200,成功,h264,1280x720,25.0,有音频,2.053,14,0,2.0480842643333212,0,42,8080808080820a82
兴隆综合频道,https://jwcdnqx.hebyun.com.cn/live/xlzh/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,791,200,成功,h264,1920x1080,30.0,有音频,4.496,14,134,4.784116467999979,0,6,ff030300f8f8f8f8
丰宁综合频道,https://jwcdnqx.hebyun.com.cn/live/fengningzonghe/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,1386,200,成功,h264,1920x1080,30.0,有音频,4.56,13,90,4.839872874000055,0,9,906478563aa9c7b7
平泉影视频道,https://jwcdnqx.hebyun.com.cn/live/pqys/1500k/tzwj_video.m3u8,,,,,,河北,1280x720,zbefine.txt,1364,200,成功,h264,1280x720,25.0,有音频,4.778,14,108,4.111636497000025,0,6,ff00000000ffffff
武进生活频道,https://live.wjyanghu.com/live/CH2.m3u8,,,,,,江苏,720x576,zbefine.txt,2620,200,成功,h264,720x576,25.0,有音频,3.852,14,286,5.280735317333362,0,2,8652513325ad6fe6
璧山综合频道,http://222.179.42.129:8181/hls1.m3u8,,,,,,重庆,1920x1080,zbefine.txt,756,200,成功,h264,1920x1080,25.0,有音频,4.837,14,192,3.5943349913333122,0,3,b9fd071e344423e3
新沂生活频道,http://live.xysrmt.cn/shpd/sd/live.m3u8,,,,,,江苏,1280x720,zbefine.txt,1724,200,成功,h264,1280x720,25.0,有音频,1.988,14,0,1.6697911686666203,0,42,8080808080820a82
武乡新闻综合,http://uzoiczhh.live.sxmty.com/live/hls/0d41f1480c4042d49927858f01fde707/53130407737b417b9a6259b57246bae3.m3u8,,,,,,山西,1280x720,zbefine.txt,4123,200,成功,h264,1280x720,30.0,有音频,5.598,14,237,6.386153655333298,0,9,b5b5b57a4a4a4a4a
汾西综合,https://qmmqvzoz.live.sxmty.com/live/hls/f24f8a390c084386a564074c9260100c/be3fdf07606145739ab2c4b80fe0136a.m3u8,,,,,,山西,1920x1080,zbefine.txt,2662,200,成功,h264,1920x1080,25.0,有音频,5.779,14,315,6.859993047999978,0,1,d8c7b43907e70b38
辽源新闻综合,http://stream2.jlntv.cn/liaoyuan1/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,255,200,成功,h264,720x576,25.0,有音频,1.615,14,210,1.990568971000054,0,3,95b63f747287600e
壶关电视台,http://zmjp3jin.live.sxmty.com/live/hls/268fe96f955d496db37fb10bb887cda9/fc196029d289449ea524a94a95379a0d.m3u8,,,,,,山西,1920x1080,zbefine.txt,4193,200,成功,h264,1920x1080,25.0,有音频,6.192,14,276,6.362570244000001,0,3,e1e666f88b41f215
东辽综合,http://stream5.jlntv.cn/dl/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,272,200,成功,h264,720x576,25.0,有音频,1.818,14,221,3.1092051846666586,0,3,d06866b6369b3b1c
武进新闻频道,https://live.wjyanghu.com/live/CH1.m3u8,,,,,,江苏,720x576,zbefine.txt,2907,200,成功,h264,720x576,25.0,有音频,4.43,14,195,5.12433459533338,0,6,ede4923a6dc7a80c
万州三峡移民,http://123.146.162.24:8017/c2F0hmi/1000/live.m3u8,,,,,,重庆,720x576,zbefine.txt,205,200,成功,h264,720x576,25.0,有音频,1.39,14,0,1.3740841430000426,0,42,fe00000000000000
松原新闻综合,http://stream2.jlntv.cn/sytv/sd/live.m3u8,,,,,,吉林,1280x720,zbefine.txt,263,200,成功,h264,1280x720,25.0,有音频,2.094,14,188,3.3094484889999953,0,15,9ac96530f1e7d238
双辽综合,http://stream5.jlntv.cn/sl/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,303,200,成功,h264,720x576,25.0,有音频,1.776,14,193,2.277754350666669,0,5,b4e08f4b6953d968
郏县综合频道,http://live.dxhmt.cn:9081/tv/10425-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,200,200,成功,h264,1920x1080,25.0,有音频,6.719,14,255,13.44948329600004,3,33,
淮滨综合频道,http://live.dxhmt.cn:9081/tv/11527-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,204,200,成功,h264,1920x1080,25.0,有音频,8.641,14,315,,3,30,
邓州新闻,http://live.dxhmt.cn:9081/tv/11381-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,225,200,成功,h264,1920x1080,25.0,有音频,9.542,14,315,,3,30,
温县综合,http://live.dxhmt.cn:9081/tv/10825-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1574,200,成功,h264,1920x1080,25.0,有音频,9.614,14,294,,3,36,
菏泽新闻综合,http://zb.hezegd.com:1935/live/hztv1/1000k/tzwj_video.m3u8,,,,,,山东,1280x720,zbefine.txt,591,200,成功,h264,1280x720,25.0,有音频,1.623,14,148,2.4432580830000084,0,6,9e61608f70e47aec
永城新闻,http://live.dxhmt.cn:9081/tv/11481-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,200,200,成功,h264,1920x1080,25.0,有音频,8.9,14,315,,3,36,
西宁新闻综合,https://liveout.xntv.tv/a65jur/96iln2.m3u8,,,,,,青海,1920x1080,zbefine.txt,2789,200,成功,h264,1920x1080,25.0,有音频,4.496,14,255,7.82672899100002,0,6,886c629acecb38ed
宜阳综合频道,http://live.dxhmt.cn:9081/tv/10327-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1686,200,成功,h264,1920x1080,25.0,有音频,9.383,14,315,13.471201040499977,3,30,
方城一套,http://live.dxhmt.cn:9081/tv/11322-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,214,200,成功,h264,1920x1080,25.0,有音频,6.667,14,294,13.385964534499976,3,30,
西宁生活服务,https://liveout.xntv.tv/a65jur/90p2i1.m3u8,,,,,,青海,1920x1080,zbefine.txt,1849,200,成功,h264,1920x1080,25.0,有音频,6.439,14,255,6.83341950766669,0,6,886c629acecb38ed
前郭综合频道,http://stream2.jlntv.cn/qg/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,266,200,成功,h264,720x576,25.0,有音频,1.718,14,161,1.9478905050000321,0,6,ccf8f8f86c070707
涉县新闻综合,https://jwcdnqx.hebyun.com.cn/live/SXTV1/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,784,200,成功,h264,1920x1080,25.0,有音频,3.189,14,124,4.012087405666648,0,6,fea929a900d656d6
汤阴综合,http://live.dxhmt.cn:9081/tv/10523-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1593,200,成功,h264,1920x1080,25.0,有音频,11.229,14,308,11.310387231499988,3,36,
封丘新闻综合,http://live.dxhmt.cn:9081/tv/10727-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,201,200,成功,h264,1920x1080,25.0,有音频,6.766,14,315,,3,33,
武陟新闻综合,http://live.dxhmt.cn:9081/tv/10823-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1122,200,成功,h264,1920x1080,25.0,有音频,10.162,14,255,13.903522070000008,3,30,
潢川综合频道,http://live.dxhmt.cn:9081/tv/11526-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,204,200,成功,h264,1920x1080,25.0,有音频,5.107,13,279,12.925994541000023,3,36,
台前新闻综合,http://live.dxhmt.cn:9081/tv/10927-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,204,200,成功,h264,1920x1080,25.0,有音频,9.69,14,281,8.859690517499985,3,33,
潼南综合频道,http://183.230.184.51:65500/tntv1.m3u8,,,,,,重庆,1920x1080,zbefine.txt,668,200,成功,h264,1920x1080,25.0,有音频,2.503,12,220,4.609674100999996,0,6,f0f0f0f0f00f0f0f
松原公共频道,http://stream8.jlntv.cn/sytv2/sd/live.m3u8,,,,,,吉林,1280x720,zbefine.txt,758,200,成功,h264,1280x720,25.0,有音频,2.073,14,208,3.4607463599999924,0,11,9ac96530f1e7d238
富裕综合,http://221.209.44.174:1980/hls/1001.m3u8,,,,,,黑龙江,1920x1080,zbefine.txt,469,200,成功,h264,1920x1080,29.97002997002997,有音频,1.692,14,200,2.0998959563333224,0,6,f0cd17926f635864
长垣综合频道,http://live.dxhmt.cn:9081/tv/10728-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,201,200,成功,h264,1920x1080,25.0,有音频,13.696,14,276,,3,30,
黎城综合频道,http://111.53.96.67:8081/live/1/index.m3u8,,,,,,山西,1920x1080,zbefine.txt,441,200,成功,h264,1920x1080,25.0,有音频,1.872,14,0,1.9117476253333432,0,42,92da6d35cbcc922a
光山综合频道,http://live.dxhmt.cn:9081/tv/11522-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,206,200,成功,h264,1920x1080,25.0,有音频,4.558,14,294,13.021069319500043,3,36,
辉南新闻综合,http://stream5.jlntv.cn/hn/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,267,200,成功,h264,720x576,25.0,有音频,1.924,14,214,2.4035131846666977,0,3,abcd7426013b6a9d
江津新闻综合,http://222.179.155.21:1935/ch1.m3u8,,,,,,重庆,1920x1080,zbefine.txt,489,200,成功,h264,1920x1080,25.0,有音频,2.074,14,231,2.977749460666663,0,15,
吴忠公共,http://live.kanwz.net/ggpd/sd/live.m3u8,,,,,,宁夏,320x240,zbefine.txt,2788,200,成功,h264,320x240,25.0,有音频,2.112,14,0,1.9986482886666483,0,42,ad52ad52ad52ad52
白城新闻综合,http://stream2.jlntv.cn/baicheng1/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,266,200,成功,h264,720x576,25.0,有音频,1.93,14,110,2.174810243333392,0,9,b38c8c330c9973fc
鲁山综合频道,http://live.dxhmt.cn:9081/tv/10423-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,200,200,成功,h264,1920x1080,25.0,有音频,6.758,14,294,14.495249705999981,3,33,
舞阳新闻综合,http://live.dxhmt.cn:9081/tv/11121-1.m3u8,,,,,,河南,720x576,zbefine.txt,200,200,成功,h264,720x576,25.0,有音频,10.687,14,294,12.587671959999966,3,36,
吴忠综合,http://live.kanwz.net/zhpd/sd/live.m3u8,,,,,,宁夏,320x240,zbefine.txt,2831,200,成功,h264,320x240,25.0,有音频,1.926,14,0,1.9680552493333228,0,42,ad52ad52ad52ad52
临颍综合频道,http://live.dxhmt.cn:9081/tv/11122-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,200,200,成功,h264,1920x1080,25.0,有音频,15.749,14,315,,3,39,
长白山电视台,http://stream8.jlntv.cn/cbstv/sd/live.m3u8,,,,,,吉林,320x240,zbefine.txt,277,200,成功,h264,320x240,25.0,有音频,1.703,14,0,1.9485524893333377,0,42,ad52ad52ad52ad52
菏泽经济生活,http://zb.hezegd.com:1935/live/hztv2/1000k/tzwj_video.m3u8,,,,,,山东,1280x720,zbefine.txt,489,200,成功,h264,1280x720,25.0,有音频,1.472,14,134,2.1495233403332654,0,6,d894c0f7b504ed2d
集安综合频道,http://stream2.jlntv.cn/ja/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,280,200,成功,h264,720x576,25.0,有音频,1.933,13,160,2.356217546333331,0,6,8000000000000000
范县新闻综合,http://live.dxhmt.cn:9080/13603832636/13abd3089d9c47058fe34c49a6182981.m3u8,,,,,,河南,480x270,zbefine.txt,2146,200,成功,h264,480x270,25.0,有音频,11.592,13,72,9.817685088333311,2,27,ac3053dde37d060d
柳河综合,http://stream5.jlntv.cn/lh/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,302,200,成功,h264,720x576,25.0,有音频,1.873,14,94,2.0611673860000415,0,9,dc03030307fcfcfc
通化县综合,http://stream5.jlntv.cn/thx/sd/live.m3u8,,,,,,吉林,320x240,zbefine.txt,273,200,成功,h264,320x240,25.0,有音频,1.64,14,0,1.8769844656666237,0,42,ad52ad52ad52ad52
德惠综合,http://stream11.jlntv.cn/dehuitv/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,800,200,成功,h264,720x576,25.0,有音频,2.039,14,161,2.4476165166666988,0,9,ebcd92326d67a80c
铜梁综合,http://183.64.174.171:40123/ch1.m3u8,,,,,,重庆,720x576,zbefine.txt,723,200,成功,h264,720x576,25.0,有音频,2.675,14,306,4.913114692333352,0,2,c3f234f0c2b5e3c2
泌阳新闻综合,http://live.dxhmt.cn:9081/tv/11726-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,200,200,成功,h264,1920x1080,25.0,有音频,9.57,14,315,11.823462641999981,3,36,
临夏市电视台,http://124.152.34.102:8030/wCMq71/wCMq71_0.m3u8,,,,,,甘肃,1920x1080,zbefine.txt,686,200,成功,h264,1920x1080,25.0,有音频,1.851,10,84,2.442710404333335,0,9,ff00000000000000
武乡新闻综合,http://60.220.198.84:81/0.m3u8,,,,,,山西,1280x720,zbefine.txt,733,200,成功,h264,1280x720,30.0,有音频,2.211,14,172,2.8012241210000184,0,9,b5b5b57a4a4a4a4a
句容影视频道,http://jrlive.jrntv.com/live/_definst_/yingshis/playlist.m3u8,,,,,,江苏,720x576,zbefine.txt,2035,200,成功,h264,720x576,25.0,有音频,6.516,14,0,3.168805864000016,0,42,cadf514a505f447a
淅川综合,http://live.dxhmt.cn:9081/tv/11326-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,206,200,成功,h264,1920x1080,25.0,有音频,6.066,14,315,10.746395648999965,3,36,
句容党建频道,http://jrlive.jrntv.com/live/_definst_/dangjians/playlist.m3u8,,,,,,江苏,720x576,zbefine.txt,1397,200,成功,h264,720x576,25.0,有音频,6.735,14,151,3.061784009000045,0,12,cadf514a505f447a
永清综合频道,http://60.10.203.69:8000/0.m3u8,,,,,,河北,1920x1080,zbefine.txt,733,200,成功,h264,1920x1080,25.0,有音频,2.181,14,189,2.7490007800000362,0,3,a572725949ac538f
唐河一套,http://live.dxhmt.cn:9081/tv/11328-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,206,200,成功,h264,1920x1080,25.0,有音频,11.849,14,308,,3,30,
句容新闻综合,http://jrlive.jrntv.com/live/_definst_/jrxwzhs/playlist.m3u8,,,,,,江苏,720x576,zbefine.txt,2482,200,成功,h264,720x576,25.0,有音频,5.987,14,245,3.9064036616666726,0,3,89ccb3459ae866b6
农安新闻综合,http://stream2.jlntv.cn/naxw/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,308,200,成功,h264,720x576,25.0,有音频,1.63,14,146,2.1549335753333785,0,9,ebcd92926d67882c
句容生活频道,http://jrlive.jrntv.com/live/_definst_/shenghuos/playlist.m3u8,,,,,,江苏,720x576,zbefine.txt,2444,200,成功,h264,720x576,25.0,有音频,3.142,14,228,3.1546265600000347,0,3,978ccf326969b511
内乡综合,http://live.dxhmt.cn:9081/tv/11325-1.m3u8,,,,,,河南,720x576,zbefine.txt,205,200,成功,h264,720x576,25.0,有音频,8.693,14,315,,3,33,
哈尔滨娱乐,http://stream.hrbtv.net/ylpd/sd/live.m3u8,,,,,,黑龙江,640x480,zbefine.txt,1057,200,成功,h264,640x480,25.0,有音频,1.588,11,30,1.7059827740000628,0,27,8080808080802a80
获嘉综合频道,http://live.dxhmt.cn:9081/tv/10724-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,809,200,成功,h264,1920x1080,25.0,有音频,9.457,14,295,,3,30,
汪清综合,http://stream5.jlntv.cn/wq/sd/live.m3u8,,,,,,吉林,320x240,zbefine.txt,286,200,成功,h264,320x240,25.0,有音频,1.842,14,0,1.9063530869999947,0,42,ad52ad52ad52ad52
襄汾综合,http://7sycrzf7.live.sxmty.com/live/hls/da9222d15ce7491d85fe3519e5201df5/af161dfd2a434b22b3b75fdd72fb9038-1.m3u8,,,,,,山西,1920x1080,zbefine.txt,3974,200,成功,h264,1920x1080,25.0,有音频,6.417,14,274,5.000304810666648,0,3,96d8692749992d76
平舆综合,http://live.dxhmt.cn:9081/tv/11723-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,204,200,成功,h264,1920x1080,25.0,有音频,10.315,14,294,13.772112416500079,3,33,
永清影视频道,http://60.10.203.69:8000/4.m3u8,,,,,,河北,1920x1080,zbefine.txt,514,200,成功,h264,1920x1080,30.0,有音频,1.758,14,6,2.2133705503334036,0,41,a3cd92326de7982c
九台综合,http://stream10.jlntv.cn/jiutaitv/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,976,200,成功,h264,720x576,25.0,有音频,1.992,14,211,2.548468362333324,0,2,fac8b400ff13fb04
哈尔滨新闻综合,http://stream.hrbtv.net/xwzh/sd/live.m3u8,,,,,,黑龙江,640x480,zbefine.txt,2084,200,成功,h264,640x480,25.0,有音频,1.88,14,274,8.036816497000018,1,6,
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8,,,,,,黑龙江,640x480,zbefine.txt,1826,200,成功,h264,640x480,25.0,有音频,2.905,11,244,5.4805743193333,0,6,
万州最万州,http://123.146.162.24:8017/d4ceB1a/1000/live.m3u8,,,,,,重庆,720x576,zbefine.txt,203,200,成功,h264,720x576,25.0,有音频,1.394,14,0,1.4071598699999868,0,42,fe00000000000000
淇县电视台,http://live.dxhmt.cn:9081/tv/10622-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,874,200,成功,h264,1920x1080,25.0,有音频,6.485,13,303,13.495679908499994,3,33,
双阳综合,http://stream11.jlntv.cn/shuangyang/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,298,200,成功,h264,720x576,25.0,有音频,1.873,14,216,2.4261857523333297,0,3,ad735824539a4b9e
沁阳新闻综合,http://live.dxhmt.cn:9081/tv/10882-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,902,200,成功,h264,1920x1080,25.0,有音频,5.615,14,315,11.06647509000004,3,33,
固镇影视频道,http://www.guzhenm.com:7004/hls/hd-live.m3u8,,,,,,安徽,720x576,zbefine.txt,722,200,成功,h264,720x576,25.0,有音频,4.116,14,0,4.896731494333342,0,42,8000000000000000
平泉综合频道,https://jwcdnqx.hebyun.com.cn/live/pqzh/1500k/tzwj_video.m3u8,,,,,,河北,1280x720,zbefine.txt,1335,200,成功,h264,1280x720,25.0,有音频,4.034,14,90,4.263642136666704,0,10,ff00000000ffffff
