频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件
[BD]明珠,https://t.freetv.fun/live/ming-zhu-1.m3u8,,,,368369,明珠臺(備),Hong Kong,Hong Kong,https://epg.pw/media/images/channel/2024/12/26/large/20241226141312380293_76.png,Movies,,freetv-fun-all.txt
[BD]明珠,https://t.freetv.fun/live/ming-zhu-2.m3u8,,,,368369,明珠臺(備),Hong Kong,Hong Kong,https://epg.pw/media/images/channel/2024/12/26/large/20241226141312380293_76.png,Movies,,freetv-fun-all.txt
[BD]明珠,https://t.freetv.fun/live/ming-zhu-3.m3u8,,,,368369,明珠臺(備),Hong Kong,Hong Kong,https://epg.pw/media/images/channel/2024/12/26/large/20241226141312380293_76.png,Movies,,freetv-fun-all.txt
[BD]星空卫视,https://t.freetv.fun/live/xing-kong-wei-shi-3.m3u8,,,,,星空衛視,Hong Kong,Hong Kong,https://epg.pw/media/images/channel/2024/03/11/large/20240311112750924244_65.png,Entertainment,,freetv-fun-all.txt
[VGA]星空卫视,https://t.freetv.fun/live/xing-kong-wei-shi-1-1.m3u8,,,,,星空衛視,Hong Kong,Hong Kong,https://epg.pw/media/images/channel/2024/03/11/large/20240311112750924244_65.png,Entertainment,,freetv-fun-all.txt
[BD]星空卫视,https://t.freetv.fun/live/xing-kong-wei-shi-2-1.m3u8,,,,,星空衛視,Hong Kong,Hong Kong,https://epg.pw/media/images/channel/2024/03/11/large/20240311112750924244_65.png,Entertainment,,freetv-fun-all.txt
[SD]時代劇専門チャンネル,https://t.freetv.fun/live/shi-dai-ju-zhuan-men-chiyanneru.m3u8,,,,10727,時代劇専門チャンネル,Japan,Japan,https://epg.pw/media/images/channel/2021/12/12/large/20211212021135075050_13.png,Movies,,freetv-fun-all.txt
[BD]晋城公共,https://t.freetv.fun/live/jin-cheng-gong-gong-1.m3u8,,,,,晉城公共,China,China,https://epg.pw/media/images/channel/2022/11/01/large/20221101013917651923_84.jpg,Generic,,freetv-fun-all.txt
[BD]晋城公共,https://t.freetv.fun/live/jin-cheng-gong-gong-1-1.m3u8,,,,,晉城公共,China,China,https://epg.pw/media/images/channel/2022/11/01/large/20221101013917651923_84.jpg,Generic,,freetv-fun-all.txt
[BD]晋城新闻,https://t.freetv.fun/live/jin-cheng-xin-wen-1.m3u8,,,,,晉城新聞,China,China,https://epg.pw/media/img/logo/3_246.jpg,News,,freetv-fun-all.txt
[BD]晋城新闻,https://t.freetv.fun/live/jin-cheng-xin-wen-1-1.m3u8,,,,,晉城新聞,China,China,https://epg.pw/media/img/logo/3_246.jpg,News,,freetv-fun-all.txt
[BD]晋城新闻,https://t.freetv.fun/live/jin-cheng-xin-wen-2.m3u8,,,,,晉城新聞,China,China,https://epg.pw/media/img/logo/3_246.jpg,News,,freetv-fun-all.txt
[SD]白城新闻综合,https://t.freetv.fun/live/bai-cheng-xin-wen-zong-he.m3u8,,,,,晉城新聞綜合,China,China,https://epg.pw/media/images/channel/2022/11/01/large/20221101013959508413_44.jpg,News,,freetv-fun-all.txt
[BD]郸城新闻综合,https://t.freetv.fun/live/dan-cheng-xin-wen-zong-he-1.m3u8,,,,,晉城新聞綜合,China,China,https://epg.pw/media/images/channel/2022/11/01/large/20221101013959508413_44.jpg,News,,freetv-fun-all.txt
[SD]白城新闻综合,https://t.freetv.fun/live/bai-cheng-xin-wen-zong-he-2.m3u8,,,,,晉城新聞綜合,China,China,https://epg.pw/media/images/channel/2022/11/01/large/20221101013959508413_44.jpg,News,,freetv-fun-all.txt
[HD]晋江市电视,https://t.freetv.fun/live/jin-jiang-shi-dian-shi.m3u8,,,,,晉江電視臺,China,China,https://epg.pw/media/uploads/tmp_logo/2016/10/31/20161031010010341875_89.jpg,Generic,,freetv-fun-all.txt
[HD]有线新闻台,https://t.freetv.fun/live/you-xian-xin-wen-tai-1.m3u8,,,,,有線新聞,Hong Kong,Hong Kong,https://epg.pw/media/images/channel/2020/07/14/large/20200714005324551300_94.png,News,,freetv-fun-all.txt
[HD]有线新闻台,https://t.freetv.fun/live/you-xian-xin-wen-tai-1-1.m3u8,,,,,有線新聞,Hong Kong,Hong Kong,https://epg.pw/media/images/channel/2020/07/14/large/20200714005324551300_94.png,News,,freetv-fun-all.txt
[HD]有线新闻台,https://t.freetv.fun/live/you-xian-xin-wen-tai-2.m3u8,,,,,有線新聞,Hong Kong,Hong Kong,https://epg.pw/media/images/channel/2020/07/14/large/20200714005324551300_94.png,News,,freetv-fun-all.txt
[HD]有线新闻台,https://t.freetv.fun/live/you-xian-xin-wen-tai-3.m3u8,,,,,有線新聞,Hong Kong,Hong Kong,https://epg.pw/media/images/channel/2020/07/14/large/20200714005324551300_94.png,News,,freetv-fun-all.txt
[HD]有线财经信息台,https://t.freetv.fun/live/you-xian-cai-jing-xin-xi-tai.m3u8,,,,,有線財經資訊臺,Hong Kong,Hong Kong,https://epg.pw/media/images/channel/2020/06/25/large/20200625232336807856_57.png,News,,freetv-fun-all.txt
[HD]朝鲜恩情台,https://t.freetv.fun/live/zhao-xian-en-qing-tai.m3u8,,,,,朝鮮中央臺,North Korea,North Korea,https://epg.pw/media/images/channel/2022/05/31/large/20220531163411079671_65.jpg,Other,,freetv-fun-all.txt
[VGA]朝鲜中央电视台,https://t.freetv.fun/live/zhao-xian-zhong-yang-dian-shi-tai.m3u8,,,,,朝鮮中央臺,North Korea,North Korea,https://epg.pw/media/images/channel/2022/05/31/large/20220531163411079671_65.jpg,Other,,freetv-fun-all.txt
[HD]杭州3生活,https://t.freetv.fun/live/hang-zhou-3sheng-huo.smil,,,,,杭州生活,China,China,https://epg.pw/media/images/channel/2022/05/30/large/20220530221835348974_94.jpg,Generic,,freetv-fun-all.txt
