频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
CCTV-6,http://69.30.245.50/live/cctv6.m3u8,,,,CCTV-6,CCTV-6,,,https://www.xn--rgv465a.top/tvlogo/CCTV-6.png,📺央视频道,1280x720,Guovin.txt,53,200,成功,h264,1280x720,25.0,有音频,0.930
CCTV-11,http://74.91.26.218:82/live/cctv11hd.m3u8,,,,CCTV-11,CCTV-11,,,https://www.xn--rgv465a.top/tvlogo/CCTV-11.png,📺央视频道,1280x720,Guovin.txt,52,200,成功,h264,1280x720,25.0,有音频,0.971
女性时尚,http://173.208.212.130:8181/720p/nxss.m3u8,,,,女性时尚,女性时尚,,,https://www.xn--rgv465a.top/tvlogo/女性时尚.png,💰央视付费频道,720x576,Guovin.txt,79,200,成功,h264,720x576,25.0,有音频,0.979
CCTV-17,http://74.91.26.218:82/live/cctv17hd.m3u8,,,,CCTV-17,CCTV-17,,,https://i.imgur.com/jSQURxS.png,📺央视频道,1920x1080,Guovin.txt,79,200,成功,h264,1920x1080,25.0,有音频,1.032
文化精品,http://173.208.212.130:8181/720p/ysjp.m3u8,,,,文化精品,文化精品,,,https://www.xn--rgv465a.top/tvlogo/文化精品.png,💰央视付费频道,1920x1080,Guovin.txt,53,200,成功,h264,1920x1080,25.0,有音频,1.050
湖南卫视,http://74.91.26.218:82/live/hnwshd.m3u8,,,,湖南卫视,湖南卫视,,,https://www.xn--rgv465a.top/tvlogo/湖南卫视.png,📡卫视频道,1920x1080,Guovin.txt,54,200,成功,h264,1920x1080,25.0,有音频,1.085
天津卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=tjwshd,,,,天津卫视,天津卫视,,,https://www.xn--rgv465a.top/tvlogo/天津卫视.png,📡卫视频道,1920x1080,Guovin.txt,74,200,成功,h264,1920x1080,25.0,有音频,1.094
黑龙江卫视,http://38.75.136.137:98/gslb/dsdqpub/hljwshd.m3u8?auth=testpub,,,,黑龙江卫视,黑龙江卫视,,,https://www.xn--rgv465a.top/tvlogo/黑龙江卫视.png,📡卫视频道,1920x1080,Guovin.txt,72,200,成功,h264,1920x1080,25.0,有音频,1.112
江苏卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jswshd,,,,江苏卫视,江苏卫视,,,https://www.xn--rgv465a.top/tvlogo/江苏卫视.png,📡卫视频道,1920x1080,Guovin.txt,105,200,成功,h264,1920x1080,25.0,有音频,1.152
新疆卫视,http://198.204.228.26/live/xjws.m3u8,,,,新疆卫视,新疆卫视,,,https://www.xn--rgv465a.top/tvlogo/新疆卫视.png,📡卫视频道,720x576,Guovin.txt,51,200,成功,h264,720x576,25.0,有音频,0.443
风云音乐,http://207.56.13.146:81/cdnlive/fyyy.m3u8,,,,风云音乐,风云音乐,,,https://www.xn--rgv465a.top/tvlogo/风云音乐.png,💰央视付费频道,1280x720,Guovin.txt,793,200,成功,h264,1280x720,25.0,有音频,1.475
河南卫视,http://38.75.136.137:98/gslb/dsdqpub/hawshd.m3u8?auth=testpub,,,,河南卫视,河南卫视,,,https://www.xn--rgv465a.top/tvlogo/河南卫视.png,📡卫视频道,1920x1080,Guovin.txt,69,200,成功,h264,1920x1080,25.0,有音频,1.709
CCTV-5,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub,,,,CCTV-5,CCTV-5,,,https://www.xn--rgv465a.top/tvlogo/CCTV-5.png,📺央视频道,1280x720,Guovin.txt,791,200,成功,h264,1280x720,25.0,有音频,0.379
金川新闻综合,https://t.freetv.fun/live/jin-chuan-xin-wen-zong-he-1.m3u8,,,,金川新闻综合,金川新闻综合,,,https://www.xn--rgv465a.top/tvlogo/金川新闻综合.png,☘️四川频道,1280x720,Guovin.txt,56,403,成功,h264,1280x720,25.0,有音频,1.796
苏州生活资讯,https://t.freetv.fun/live/su-zhou-sheng-huo-zi-xun.m3u8,,,,苏州生活资讯,苏州生活资讯,,,https://www.xn--rgv465a.top/tvlogo/苏州生活资讯.png,☘️江苏频道,1280x720,Guovin.txt,64,403,成功,h264,1280x720,25.0,有音频,1.814
CCTV-8,http://207.56.13.146:81/cdnlive/cctv8.m3u8,,,,CCTV-8,CCTV-8,,,https://www.xn--rgv465a.top/tvlogo/CCTV-8.png,📺央视频道,1280x720,Guovin.txt,243,200,成功,h264,1280x720,25.0,有音频,0.840
CCTV-9,http://74.91.26.218:82/live/cctv9hd.m3u8,,,,CCTV-9,CCTV-9,,,https://www.xn--rgv465a.top/tvlogo/CCTV-9.png,📺央视频道,1280x720,Guovin.txt,73,200,成功,h264,1280x720,25.0,有音频,0.354
南京新闻综合,http://nklive.nbs.cn/hls/d511bc9d-a694-4453-b3a2-4fc842cc97a1/index.m3u8,,,,南京新闻综合,南京新闻综合,,,https://www.xn--rgv465a.top/tvlogo/南京新闻综合.png,☘️江苏频道,1280x720,Guovin.txt,531,200,成功,h264,1280x720,25.0,有音频,1.978
辽宁卫视,http://207.56.13.146:81/cdnlive/lnws.m3u8,,,,辽宁卫视,辽宁卫视,,,https://www.xn--rgv465a.top/tvlogo/辽宁卫视.png,📡卫视频道,1920x1080,Guovin.txt,563,200,成功,h264,1920x1080,25.0,有音频,1.003
四川卫视,http://198.204.228.26/live/scwshd.m3u8,,,,四川卫视,四川卫视,,,https://www.xn--rgv465a.top/tvlogo/四川卫视.png,📡卫视频道,1920x1080,Guovin.txt,52,200,成功,h264,1920x1080,25.0,有音频,0.399
浙江经济生活,https://t.freetv.fun/live/zhe-jiang-jing-ji-sheng-huo-1.m3u8,,,,浙江经济生活,浙江经济生活,,,https://www.xn--rgv465a.top/tvlogo/浙江经济生活.png,☘️浙江频道,1280x720,Guovin.txt,54,403,成功,h264,1280x720,25.0,有音频,3.075
甘肃卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gswshd,,,,甘肃卫视,甘肃卫视,,,https://www.xn--rgv465a.top/tvlogo/甘肃卫视.png,📡卫视频道,720x576,Guovin.txt,78,200,成功,h264,720x576,25.0,有音频,0.384
雅安新闻综合,https://play.yunxya.com/channellive/xinwen.m3u8,,,,雅安新闻综合,雅安新闻综合,,,https://www.xn--rgv465a.top/tvlogo/雅安新闻综合.png,☘️四川频道,1920x1080,Guovin.txt,3244,200,成功,h264,1920x1080,25.0,有音频,3.568
江苏卫视,http://38.75.136.137:98/gslb/dsdqbv/jswshd.m3u8?auth=test20251009,,,,江苏卫视,江苏卫视,,,https://www.xn--rgv465a.top/tvlogo/江苏卫视.png,📡卫视频道,1920x1080,Guovin.txt,72,200,成功,h264,1920x1080,25.0,有音频,0.378
风云剧场,http://207.56.13.146:81/cdnlive/fyjc.m3u8,,,,风云剧场,风云剧场,,,https://www.xn--rgv465a.top/tvlogo/风云剧场.png,💰央视付费频道,1920x1080,Guovin.txt,805,200,成功,h264,1920x1080,25.0,有音频,0.944
CCTV-15,http://198.204.228.26/live/cctv15hd.m3u8,,,,CCTV-15,CCTV-15,,,https://www.xn--rgv465a.top/tvlogo/CCTV-15.png,📺央视频道,1280x720,Guovin.txt,127,200,成功,h264,1280x720,25.0,有音频,0.956
