频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,失败原因
,http://live.dxhmt.cn:9081/tv/11282-1.m3u8,,,20.002,,,,,无音频,timeout
,http://live.dxhmt.cn:9081/tv/10200-3.m3u8,,,20.002,,,,,无音频,timeout
,http://live.dxhmt.cn:9081/tv/10181-1.m3u8,,,20.002,,,,,无音频,timeout
,https://play.kankanlive.com/live/1629709727589955.m3u8,,,20.001,,,,,无音频,timeout
,https://play.kankanlive.com/live/1645679947087932.m3u8,,,20.002,,,,,无音频,timeout
,https://play.kankanlive.com/live/1629710004378956.m3u8,,,20.001,,,,,无音频,timeout
,https://play.kankanlive.com/live/1645680054929933.m3u8,,,20.001,,,,,无音频,timeout
,https://play.kankanlive.com/live/1631185650131909.m3u8,,,20.002,,,,,无音频,timeout
,https://play.kankanlive.com/live/1625041962958919.m3u8,,,20.003,,,,,无音频,timeout
,https://play.kankanlive.com/live/1621842376245934.m3u8,,,20.002,,,,,无音频,timeout
,https://play.kankanlive.com/live/1621416463200961.m3u8,,,20.002,,,,,无音频,timeout
,https://play.kankanlive.com/live/1638428318510977.m3u8,,,20.002,,,,,无音频,timeout
,https://play.kankanlive.com/live/1619400940821967.m3u8,,,20.002,,,,,无音频,timeout
,https://play.kankanlive.com/live/1626051451895935.m3u8,,,20.002,,,,,无音频,timeout
,http://pull.dayuntongzhou.com/live/tztv.m3u8,,,20.002,,,,,无音频,timeout
,http://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8,,,20.003,,,,,无音频,timeout
,http://hls.nntv.cn/nnlive/NNTV_METRO_A.m3u8,,,20.002,,,,,无音频,timeout
,http://play.kankanlive.com/live/1641010321462941.m3u8,,,20.002,,,,,无音频,timeout
,http://hls.nntv.cn/nnlive/NNTV_NEWS_A.m3u8,,,20.002,,,,,无音频,timeout
,http://hls.nntv.cn/nnlive/MSTV_A.m3u8,,,20.002,,,,,无音频,timeout
,http://play.kankanlive.com/live/1614311581479927.m3u8,,,20.002,,,,,无音频,timeout
,http://play.kankanlive.com/live/1620829433464975.m3u8,,,20.003,,,,,无音频,timeout
,http://hls.nntv.cn/nnlive/LATV_A.m3u8,,,20.002,,,,,无音频,timeout
,http://hls.nntv.cn/nnlive/SLTV_A.m3u8,,,20.002,,,,,无音频,timeout
,https://play.kankanlive.com/live/1629944062210970.m3u8,,,20.002,,,,,无音频,timeout
,http://hls.nntv.cn/nnlive/NNTV_PUB_A.m3u8,,,20.003,,,,,无音频,timeout
,http://live.dxhmt.cn:9081/tv/10721-1.m3u8,,,20.004,,,,,无音频,timeout
