频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
[BD]经济科教高清,https://t.freetv.fun/live/jing-ji-ke-jiao-gao-qing-3.m3u8,,溫州經濟科教,China,China,https://epg.pw/media/images/channel/2022/11/01/large/20221101015212417692_86.jpg,Other,,freetv-fun-all.txt,320,403,无视频流,,,,无音频,1.103
[BD]广东影视高清,https://t.freetv.fun/live/yan-dong-ying-shi-gao-qing-3.m3u8,,廣東影視,China,China,https://epg.pw/media/images/channel/2023/12/26/large/20231226205507462932_79.png,Movies,,freetv-fun-all.txt,320,403,无视频流,,,,无音频,1.234
[BD]广东少儿高清,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-7.m3u8,,廣東少兒,China,China,https://epg.pw/media/images/channel/2023/12/26/large/20231226205555048307_40.png,Kids,,freetv-fun-all.txt,19,403,无视频流,,,,无音频,1.430
[BD]汕尾综合高清,https://t.freetv.fun/live/shan-wei-zong-he-gao-qing-6.m3u8,,汕尾綜合,China,China,https://epg.pw/media/uploads/tmp_logo/2018/10/18/20181018000557428409_85.jpg,Generic,,freetv-fun-all.txt,27,403,无视频流,,,,无音频,1.762
[BD]广东少儿高清,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-11.m3u8,,廣東少兒,China,China,https://epg.pw/media/images/channel/2023/12/26/large/20231226205555048307_40.png,Kids,,freetv-fun-all.txt,17,403,无视频流,,,,无音频,1.271
[BD]广东少儿高清,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-6.m3u8,,廣東少兒,China,China,https://epg.pw/media/images/channel/2023/12/26/large/20231226205555048307_40.png,Kids,,freetv-fun-all.txt,19,403,无视频流,,,,无音频,2.554
[BD]广东影视高清,https://t.freetv.fun/live/yan-dong-ying-shi-gao-qing-1.m3u8,,廣東影視,China,China,https://epg.pw/media/images/channel/2023/12/26/large/20231226205507462932_79.png,Movies,,freetv-fun-all.txt,320,403,无视频流,,,,无音频,2.539
[BD]经济科教高清,https://t.freetv.fun/live/jing-ji-ke-jiao-gao-qing-13.m3u8,,溫州經濟科教,China,China,https://epg.pw/media/images/channel/2022/11/01/large/20221101015212417692_86.jpg,Other,,freetv-fun-all.txt,319,403,无视频流,,,,无音频,2.691
[BD]深圳都市,https://t.freetv.fun/live/shen-zhen-du-shi-2.m3u8,,深圳都市,China,China,https://epg.pw/media/images/channel/2022/05/19/large/20220519234446820820_32.jpg,Generic,,freetv-fun-all.txt,18,403,无视频流,,,,无音频,2.769
[BD]经济科教高清,https://t.freetv.fun/live/jing-ji-ke-jiao-gao-qing-8.m3u8,,溫州經濟科教,China,China,https://epg.pw/media/images/channel/2022/11/01/large/20221101015212417692_86.jpg,Other,,freetv-fun-all.txt,320,403,无视频流,,,,无音频,2.607
[BD]韓國娛樂,https://t.freetv.fun/live/han-guo-yu-le-3.m3u8,,韓國娛樂臺,Korea,Korea,https://epg.pw/media/images/channel/2018/07/28/large/20180728224232081806_43.png,Entertainment,,freetv-fun-all.txt,18,403,无视频流,,,,无音频,2.863
[BD]汕尾综合高清,https://t.freetv.fun/live/shan-wei-zong-he-gao-qing-4.m3u8,,汕尾綜合,China,China,https://epg.pw/media/uploads/tmp_logo/2018/10/18/20181018000557428409_85.jpg,Generic,,freetv-fun-all.txt,29,403,无视频流,,,,无音频,2.905
[BD]广东影视,https://t.freetv.fun/live/yan-dong-ying-shi-1.m3u8,,廣東影視,China,China,https://epg.pw/media/images/channel/2024/01/14/large/20240114130217262909_90.png,Movies,,freetv-fun-all.txt,322,403,无视频流,,,,无音频,2.297
[BD]汕尾综合高清,https://t.freetv.fun/live/shan-wei-zong-he-gao-qing-7.m3u8,,汕尾綜合,China,China,https://epg.pw/media/uploads/tmp_logo/2018/10/18/20181018000557428409_85.jpg,Generic,,freetv-fun-all.txt,29,403,无视频流,,,,无音频,0.929
[BD]广东少儿高清,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-13.m3u8,,廣東少兒,China,China,https://epg.pw/media/images/channel/2023/12/26/large/20231226205555048307_40.png,Kids,,freetv-fun-all.txt,17,403,无视频流,,,,无音频,1.136
[BD]明珠,https://t.freetv.fun/live/ming-zhu-1.m3u8,368369,明珠臺(備),Hong Kong,Hong Kong,https://epg.pw/media/images/channel/2024/12/26/large/20241226141312380293_76.png,Movies,,freetv-fun-all.txt,28,403,无视频流,,,,无音频,0.987
[BD]河南卫视,http://tvcdn.stream3.hndt.com/tv/65c4a6d5017e1000b2b6ea2500000000_transios/playlist.m3u8?wsSecret=084067a7220c7762ee0a8fb3b588ad37&wsTime=1767485145,378863,河南衛視,China,China,https://epg.pw/media/images/channel/2022/05/30/large/20220530233814283449_10.jpg,Generic,,freetv-fun-all.txt,228,403,无视频流,,,,无音频,0.103
[BD]广东影视高清,https://t.freetv.fun/live/yan-dong-ying-shi-gao-qing-11.m3u8,,廣東影視,China,China,https://epg.pw/media/images/channel/2023/12/26/large/20231226205507462932_79.png,Movies,,freetv-fun-all.txt,319,403,无视频流,,,,无音频,2.109
[BD]广东影视高清,https://t.freetv.fun/live/yan-dong-ying-shi-gao-qing-8.m3u8,,廣東影視,China,China,https://epg.pw/media/images/channel/2023/12/26/large/20231226205507462932_79.png,Movies,,freetv-fun-all.txt,320,403,无视频流,,,,无音频,1.968
[BD]明珠,https://t.freetv.fun/live/ming-zhu-9.ts,,明珠,Hong Kong,Hong Kong,https://epg.pw/media/images/channel/2024/12/26/large/20241226141232820122_81.png,Movies,,freetv-fun-all.txt,29,403,无视频流,,,,无音频,2.202
[BD]经济科教高清,https://t.freetv.fun/live/jing-ji-ke-jiao-gao-qing-12.m3u8,,溫州經濟科教,China,China,https://epg.pw/media/images/channel/2022/11/01/large/20221101015212417692_86.jpg,Other,,freetv-fun-all.txt,320,403,无视频流,,,,无音频,2.437
[BD]перший,https://t.freetv.fun/live/pershii.m3u8,,Перший Avtomobilniy,Ukraine,Ukraine,https://epg.pw/media/uploads/tmp_logo/2014/06/01/20140601223020220468_59.png,Sports,,freetv-fun-all.txt,321,403,无视频流,,,,无音频,1.954
