频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
[BD]广东少儿高清,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-2.m3u8,,,,,廣東少兒,China,China,https://epg.pw/media/images/channel/2023/12/26/large/20231226205555048307_40.png,Kids,,freetv-fun-all.txt,28,403,无视频流,,,,无音频,1.251
[VGA]汕尾综合高清,https://t.freetv.fun/live/shan-wei-zong-he-gao-qing-22.m3u8,,,,,汕尾綜合,China,China,https://epg.pw/media/uploads/tmp_logo/2018/10/18/20181018000557428409_85.jpg,Generic,,freetv-fun-all.txt,25,403,无视频流,,,,无音频,1.256
[BD]广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-4.m3u8,,,,,廣東少兒,China,China,https://epg.pw/media/images/channel/2023/07/21/large/20230721133553685102_74.png,Kids,,freetv-fun-all.txt,24,403,无视频流,,,,无音频,1.432
[BD]广东珠江高清,https://t.freetv.fun/live/yan-dong-zhu-jiang-gao-qing-8.m3u8,,,,,廣東珠江HD,China,China,https://epg.pw/media/images/channel/2024/02/04/large/20240204144739284792_38.png,Generic,,freetv-fun-all.txt,23,403,无视频流,,,,无音频,1.437
[BD]汕尾综合高清,https://t.freetv.fun/live/shan-wei-zong-he-gao-qing-3.m3u8,,,,,汕尾綜合,China,China,https://epg.pw/media/uploads/tmp_logo/2018/10/18/20181018000557428409_85.jpg,Generic,,freetv-fun-all.txt,322,403,无视频流,,,,无音频,1.535
[BD]潮州综合高清,https://t.freetv.fun/live/chao-zhou-zong-he-gao-qing-9.m3u8,,,,,潮州綜合,China,China,https://epg.pw/media/images/channel/2023/10/07/large/20231007174220816419_38.jpg,Generic,,freetv-fun-all.txt,24,403,无视频流,,,,无音频,1.524
[BD]广东少儿高清,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-6.m3u8,,,,,廣東少兒,China,China,https://epg.pw/media/images/channel/2023/12/26/large/20231226205555048307_40.png,Kids,,freetv-fun-all.txt,32,403,无视频流,,,,无音频,0.705
[BD]潮州综合高清,https://t.freetv.fun/live/chao-zhou-zong-he-gao-qing-13.m3u8,,,,,潮州綜合,China,China,https://epg.pw/media/images/channel/2023/10/07/large/20231007174220816419_38.jpg,Generic,,freetv-fun-all.txt,23,403,无视频流,,,,无音频,1.178
[BD]广东影视高清,https://t.freetv.fun/live/yan-dong-ying-shi-gao-qing-3.m3u8,,,,,廣東影視,China,China,https://epg.pw/media/images/channel/2023/12/26/large/20231226205507462932_79.png,Movies,,freetv-fun-all.txt,18,403,无视频流,,,,无音频,0.909
[BD]广东新闻高清,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing-3.m3u8,,,,,廣東新聞,China,China,https://epg.pw/media/images/channel/2023/12/26/large/20231226205535927295_17.png,News,,freetv-fun-all.txt,24,403,无视频流,,,,无音频,2.222
