频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
Megavisión Canal 19 (720p),https://mgvchannel19-ioriver-cdn.encoders.immergo.tv/master.m3u8,,,,MegavisionCanal19.sv@SD,,,,https://i.imgur.com/voyVP6X.png,General,1280x720,iptv-org-all.txt,1161,200,成功,h264,1280x720,29.97002997002997,有音频,1.160
Nour Al Sharq (576p),https://svs.itworkscdn.net/nour8satlive/livestream/playlist.m3u8,,,,NourAlSharq.lb@SD,,,,https://i.imgur.com/EEy2dUr.png,Religious,1024x576,iptv-org-all.txt,464,200,成功,h264,1024x576,25.0,有音频,1.182
OK Merseburg-Querfurt (1080p) [Not 24/7],http://58bd5b7a98e04.streamlock.net/medienasa-live/ok-merseburg_high/playlist.m3u8,,,,OKMerseburgQuerfurt.de@SD,,,,https://i.imgur.com/QfzdESc.png,General,1920x1080,iptv-org-all.txt,422,200,成功,h264,1920x1080,25.0,有音频,2.262
ONDA DIGITAL (720p),https://tv.ondadigital.pe/ondadigital/index.m3u8,,,,ONDADIGITAL.pe@SD,,,,https://i.imgur.com/3R2emx7.jpg,General,1280x720,iptv-org-all.txt,921,200,成功,h264,1280x720,60.0,有音频,2.328
OuterSphere (1080p),https://d3o593mz1glx8d.cloudfront.net/OuterSphere_US.m3u8,,,,,,,,,Undefined,1920x1080,iptv-org-all.txt,1768,200,成功,h264,1920x1080,29.97002997002997,有音频,2.430
News Malayalam 24x7 (1080p),https://d18a8tqmogafg2.cloudfront.net/newsmalayalam/index.m3u8,,,,NewsMalayalam24x7.in@SD,,,,https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_NEWS_MALAYALAM_24X7/images/LOGO_HD/image.png,News,1920x1080,iptv-org-all.txt,1604,200,成功,h264,1920x1080,25.0,有音频,1.369
Men's UP TV,https://raw.githubusercontent.com/Sibprod/streams/main/ressources/dm/py/hls/mensuptv.m3u8,,,,MensUPTV.fr@SD,,,,https://i.imgur.com/5BZwRFs.png,General,320x184,iptv-org-all.txt,157,200,成功,h264,320x184,25.0,有音频,2.108
Moconomy,https://3ee905090d464be5a51478fd9c642e93.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/RakutenTV-pl_Moconomy/playlist.m3u8,,,,Moconomy.pl@SD,,,,https://images-0.rakuten.tv/storage/global-live-channel/translation/artwork/9da0ec4d-85ea-45f4-b3f9-ae917d1714f9-width200-quality90.jpeg,Undefined,1280x720,iptv-org-all.txt,660,200,成功,h264,1280x720,29.97002997002997,有音频,2.944
OxiTV (720p) [Not 24/7],https://streamunoapp.com:3520/live/oxitvcanal36live.m3u8,,,,OxiTV.do@HD,,,,https://www.vivalivetv.com/public/files/shows/0/1/3801-294x165-FFFFFF.jpg,General,1280x720,iptv-org-all.txt,1615,200,成功,h264,1280x720,59.94005994005994,有音频,3.230
News Tamil 24x7 (1080p),https://d18a8tqmogafg2.cloudfront.net/newstamil/index.m3u8,,,,NewsTamil24x7.in@SD,,,,https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_NEWS_TAMIL_24X7/images/LOGO_HD/image.png,News,1920x1080,iptv-org-all.txt,781,200,成功,h264,1920x1080,25.0,有音频,3.690
