频道名	地址	tvg-id	tvg-name	国家分组	语言分组	图标	原分组	分辨率	来源文件	检测时间	状态码	ffprobe是否成功	视频编码	分辨率	帧率	音频	ffprobe探测时间
CCTV9	https://stream1.freetv.fun/3c6125aad8eab2287c7cb76da027f3e9673949eec3709dc9f3fd0e3ae9ab4548.m3u8							960x540	CCSH.txt	6	403	成功	h264	960x540	25.0	有音频	1.621
CCTV13	https://iptv.catvod.com/live.php?id=CCTV13							1920x1080	CCSH.txt	32	403	成功	h264	1920x1080	25.0	有音频	1.758
CCTV13	https://www.freetv.top/migu/608807423.m3u8?migutoken=b0ebf450385413f8d70e72a92ceba03e41170d59df1374472666311b9a1b26c2665ac29d287ef869f8998593325508eed5b09a4020d14bc557a3fe580eea0c0f4c2c13a4581ddb400575b8d3e9							1920x1080	CCSH.txt	323	200	成功	h264	1920x1080	30.0	有音频	1.979
CCTV12	https://www.freetv.top/migu/673168185.m3u8?migutoken=40766e9859972e6ae171d58afa7e850faae4246a22bcbd157d273c1bd3b350c0a628f5bf360a7db1d2783c2aadcb2234c9655b4da63085bdef253dcca0b0c76b5ac80d0f95782b3b7bd4a0e881							1920x1080	CCSH.txt	7535	502	成功	h264	1920x1080	30.0	有音频	1.961
CCTV17	https://www.freetv.top/migu/673168256.m3u8?migutoken=dff047a9026f526223c0ed1adbfabbe258e37787a9dbf6c13ddfa3dfc5be6fc055e4ec23f97b75ae545c0a460100ac52ba7ebcfbc7dc5b37f2c7cd2138c72751b2aa7e843867bd1e89f39c0060							1920x1080	CCSH.txt	288	200	成功	h264	1920x1080	30.0	有音频	2.011
东方卫视	https://www.freetv.top/migu/651632648.m3u8?migutoken=82404ece5a3e1172fe62375275fbec1972e5760ebab5a792834d63b128c6d25cdbb7e8922093aebaf6b4ff8a12f4970bb82639383bb1571a21e1e74fda3c763651392bb4b918419230e8b830e0							1920x1080	CCSH.txt	1029	200	成功	h264	1920x1080	30.0	有音频	2.143
CCTV11	https://www.freetv.top/migu/667987558.m3u8?migutoken=6f0aba8bb528e29d40340f6930899fd9d7af9fd013c355a61146d5528e6ac297c46d65935ffcea640455737c324736dd8a29f22083f5450155873c9e89d3a4fb8b6b92b897a7dc62ad55fd891d							1920x1080	CCSH.txt	296	200	成功	h264	1920x1080	30.0	有音频	2.155
CCTV10	https://www.freetv.top/migu/624878405.m3u8?migutoken=1a5db77292df44fecb968ef668ab090a7c82238b19114752945a92ba9ec29e57ce0ad92b07b97b3cb4c6dd2adf0e09784884ac82d7325841dd730b589ed13204f702613169b1590d2cebc3a3c9							1920x1080	CCSH.txt	1028	200	成功	h264	1920x1080	30.0	有音频	2.187
浙江卫视	https://iptv.catvod.com/live.php?id=%E6%B5%99%E6%B1%9F%E5%8D%AB%E8%A7%86							1920x1080	CCSH.txt	32	403	成功	h264	1920x1080	25.0	有音频	2.924
CCTV14	https://iptv.catvod.com/live.php?id=CCTV14							1920x1080	CCSH.txt	33	403	成功	h264	1920x1080	25.0	有音频	2.235
浙江卫视	https://stream1.freetv.fun/zhe-jiang-wei-shi-79.ctv							1920x1080	CCSH.txt	5	403	成功	hevc	1920x1080	25.0	有音频	4.291
浙江卫视	http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8							1920x1080	CCSH.txt	1102	200	成功	h264	1920x1080	25.0	有音频	2.197
CCTV13	https://iptv.catvod.com/live.php?id=CCTV-13							960x540	CCSH.txt	49	403	成功	h264	960x540	25.0	有音频	0.672
CCTV10	http://59.39.89.130:60901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0							1920x1080	CCSH.txt	337	200	成功	h264	1920x1080	50.0	有音频	4.136
浙江卫视	http://111.61.236.247:9081/hls/25/index.m3u8							1920x1080	CCSH.txt	609	200	成功	h264	1920x1080	25.0	有音频	5.895
CCTV14	http://120.76.248.139/live/bfgd/4200000132.m3u8							1280x720	CCSH.txt	519	200	成功	h264	1280x720	25.0	有音频	5.844
CCTV15	http://120.76.248.139/live/bfgd/4200000133.m3u8							1280x720	CCSH.txt	2211	200	成功	h264	1280x720	25.0	有音频	3.737
CCTV风云音乐	http://yp.qqqtv.top/1/api.php?id=CCTV-%E9%A3%8E%E4%BA%91%E9%9F%B3%E4%B9%90&auth=666858							1920x1080	CCSH.txt	347	200	成功	h264	1920x1080	25.0	有音频	1.638
