频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
[SD]now星影,https://t.freetv.fun/live/nowxing-ying.m3u8,,NOW 星影臺,Hong Kong,Hong Kong,https://epg.pw/media/images/channel/2024/04/17/large/20240417171857306359_61.png,Movies,1024x576,freetv-fun-all.txt,19,403,成功,hevc,1024x576,25.0,有音频,0.734
[BD]california music channel,https://t.freetv.fun/live/california-music-channel-1.m3u8,,California Music Channel,United States,United States,https://epg.pw/media/images/channel/2019/01/06/large/20190106151417112281_33.png,Entertainment,1920x1080,freetv-fun-all.txt,18,403,成功,h264,1920x1080,29.97002997002997,有音频,0.994
[HD]euronews ᴴᴰ,https://t.freetv.fun/live/euronews-hd.m3u8,,EuroNews Deutschland,Germany,Germany,https://epg.pw/media/uploads/tmp_logo/2015/02/20/20150220165831768637_33.jpg,News,1280x720,freetv-fun-all.txt,14,403,成功,h264,1280x720,25.0,有音频,1.396
[BD]chc家庭影院,https://t.freetv.fun/live/chcjia-ting-ying-yuan-9.m3u8,,CHC家庭影院,China,China,https://epg.pw/media/images/channel/2023/07/20/large/20230720204118595367_23.png,Movies,1920x1080,freetv-fun-all.txt,291,403,成功,h264,1920x1080,28.0,有音频,1.416
[HD]lao net tv,https://t.freetv.fun/live/lao-net-tv.m3u8,,NET TV,Kurdistan,Kurdistan,https://epg.pw/media/images/channel/2022/05/06/large/20220506173945800787_75.png,Other,1280x720,freetv-fun-all.txt,23,403,成功,h264,1280x720,29.97002997002997,有音频,1.838
[HD]phxtv,https://t.freetv.fun/live/phxtv-1.m3u8,,PX TV,Spain,Spain,https://epg.pw/media/images/channel/2022/05/06/large/20220506174713470939_64.png,Sports,1280x720,freetv-fun-all.txt,19,403,成功,h264,1280x720,25.0,有音频,1.726
[VGA]oman tv,https://t.freetv.fun/live/oman-tv-2.m3u8,,OMAN TV,Oman,Oman,https://epg.pw/media/images/channel/2024/03/13/large/20240313150229044538_15.png,Generic,426x240,freetv-fun-all.txt,18,403,成功,h264,426x240,25.0,有音频,2.087
[SD]dora tv,https://t.freetv.fun/live/dora-tv.m3u8,,Dorar TV,Saudi Arabia,Saudi Arabia,https://epg.pw/media/uploads/tmp_logo/2017/03/21/20170321100723902700_14.jpg,Generic,426x240,freetv-fun-all.txt,18,403,成功,h264,426x240,30.0,有音频,2.168
[HD]serie max,https://t.freetv.fun/live/serie-max.m3u8,,EI MAX HD,Brazil,Brazil,https://epg.pw/media/uploads/tmp_logo/2017/06/11/20170611062303386894_13.jpg,Sports,1280x720,freetv-fun-all.txt,17,403,成功,h264,1280x720,25.0,有音频,2.287
[SD]garfield and friends,https://t.freetv.fun/live/garfield-and-friends-1.m3u8,,Ryan and Friends,United States,United States,https://epg.pw/media/images/channel/2022/03/18/large/20220318085807072182_84.png,News,426x240,freetv-fun-all.txt,13,403,成功,h264,426x240,30.0,有音频,2.389
[HD]music pop,https://t.freetv.fun/live/music-pop.m3u8,,Kral Pop Music Türkiye,Türkiye,Türkiye,https://epg.pw/media/uploads/tmp_logo/2015/02/20/20150220204308565025_88.jpg,Entertainment,1280x720,freetv-fun-all.txt,18,403,成功,h264,1280x720,30.0,有音频,2.256
[BD]nhk world-japan,https://t.freetv.fun/live/nhk-world-japan.m3u8,,NHK World Japan,Japan,Japan,https://epg.pw/media/images/channel/2022/03/05/large/20220305152534604002_80.png,Generic,416x234,freetv-fun-all.txt,18,403,成功,h264,416x234,29.97002997002997,有音频,2.516
[BD]cúcuta retro tv,https://t.freetv.fun/live/cucuta-retro-tv.m3u8,,RETRO TV,United States,United States,https://epg.pw/media/img/logo/1_118.jpg,Other,1920x1080,freetv-fun-all.txt,14,403,成功,h264,1920x1080,30.0,有音频,2.682
