频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率.1,帧率,音频,ffprobe探测时间,当前动态级,历史动态级,phash重复指数,主phash值,phash唯一指数,phash有效样本数,主phash时间跨度(天),源动态分类
通化新闻,http://stream2.jlntv.cn/tonghua1/sd/live.m3u8,,,,,,吉林,1280x720,zbefine.txt,1291,200,成功,h264,1280x720,25.0,有音频,2.546,2.0,1.0,5.0,de69969661c1a1cd,32.0,57,0.0,动态源
松潘新闻综合,http://live.spccmc.com:90/live/spxwzh.m3u8,,,,,,四川,1920x1080,zbefine.txt,1146,200,成功,h264,1920x1080,25.0,有音频,2.864,1.0,0.0,1.0,ecd03487c39a2f69,55.0,57,0.0,动态源
永吉综合频道,http://stream10.jlntv.cn/yongji/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,337,200,成功,h264,720x576,25.0,有音频,2.998,1.0,0.0,2.0,f4b1b0a68de42a6e,46.0,57,0.0,动态源
磐石综合,http://stream5.jlntv.cn/ps/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,1270,200,成功,h264,720x576,25.0,有音频,3.36,2.0,2.0,8.0,f0f0f0f0f00f0f0f,35.0,57,0.0,动态源
吉林市新闻综合,http://stream2.jlntv.cn/jilin1/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,576,200,成功,h264,720x576,25.0,有音频,3.548,1.0,3.0,5.0,e188fc8113c73f65,32.0,57,0.0,动态源
四平新闻综合,http://stream2.jlntv.cn/sptv/sd/live.m3u8,,,,,,吉林,1280x720,zbefine.txt,310,200,成功,h264,1280x720,25.0,有音频,2.875,1.0,0.0,2.0,c4817b663ac51d1f,42.0,57,0.0,动态源
璧山综合频道,http://222.179.42.129:8181/hls1.m3u8,,,,,,重庆,1920x1080,zbefine.txt,833,200,成功,h264,1920x1080,25.0,有音频,3.607,2.0,0.0,2.0,b9fd071e344423e3,34.0,54,0.0,动态源
兴隆综合频道,https://jwcdnqx.hebyun.com.cn/live/xlzh/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,811,200,成功,h264,1920x1080,30.0,有音频,4.755,2.0,3.0,7.0,ff030300f8f8f8f8,30.0,57,0.0,动态源
丰宁综合频道,https://jwcdnqx.hebyun.com.cn/live/fengningzonghe/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,1654,200,成功,h264,1920x1080,30.0,有音频,4.768,5.0,3.0,7.0,906478563aa9c7b7,26.0,51,0.0,动态源
平泉影视频道,https://jwcdnqx.hebyun.com.cn/live/pqys/1500k/tzwj_video.m3u8,,,,,,河北,1280x720,zbefine.txt,1583,200,成功,h264,1280x720,25.0,有音频,6.401,2.0,3.0,7.0,ff00000000ffffff,31.0,57,0.0,动态源
平泉综合频道,https://jwcdnqx.hebyun.com.cn/live/pqzh/1500k/tzwj_video.m3u8,,,,,,河北,1280x720,zbefine.txt,1673,200,成功,h264,1280x720,25.0,有音频,4.488,2.0,3.0,8.0,ff00000000ffffff,27.0,57,0.0,动态源
