频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率.1,帧率,音频,ffprobe探测时间,当前动态级,历史动态级,phash重复指数,主phash值,phash唯一指数,phash有效样本数,主phash时间跨度(天)
荆门教育频道,http://stream.jmtv.com.cn/ggsh/sd/live.m3u8,,,,,,湖北,1920x1080,zbefine.txt,245,200,成功,h264,1920x1080,25.0,有音频,2.498,2,2,5.0,a7878d0d2672f0f8,28,48,0.0
荆门公共频道,http://stream.jmtv.com.cn/ngpd/sd/live.m3u8,,,,,,湖北,1920x1080,zbefine.txt,247,200,成功,h264,1920x1080,25.0,有音频,1.639,6,9,9.0,8282202020202082,1,48,0.0
元宝山综合,http://l2yx82zv.live2.danghongyun.com/live/hls/8be0890a1b0c4d7aaf80b51ea8646682/5a8988f5ecc64986a19aa9b6b3a052a6-1.m3u8,,,,,,内蒙古,1920x1080,zbefine.txt,1021,200,成功,h264,1920x1080,30.0,有音频,2.955,5,2,7.0,de01000170fefefe,27,45,0.0
富裕综合,http://221.209.44.174:1980/hls/1001.m3u8,,,,,,黑龙江,1920x1080,zbefine.txt,497,200,成功,h264,1920x1080,29.97002997002997,有音频,2.241,2,1,5.0,f0cd17926f635864,33,48,0.0
永吉综合频道,http://stream10.jlntv.cn/yongji/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,275,200,成功,h264,720x576,25.0,有音频,3.323,2,0,2.0,f4b1b0a68de42a6e,37,48,0.0
荆门新闻综合,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8,,,,,,湖北,1920x1080,zbefine.txt,999,200,成功,h264,1920x1080,25.0,有音频,3.602,2,1,5.0,88d5a3d7ccb95232,30,48,0.0
句容影视频道,http://jrlive.jrntv.com/live/_definst_/yingshis/playlist.m3u8,,,,,,江苏,720x576,zbefine.txt,302,200,成功,h264,720x576,25.0,有音频,4.282,6,9,9.0,cadf514a505f447a,1,48,0.0
句容党建频道,http://jrlive.jrntv.com/live/_definst_/dangjians/playlist.m3u8,,,,,,江苏,720x576,zbefine.txt,307,200,成功,h264,720x576,25.0,有音频,4.336,2,3,8.0,cadf514a505f447a,26,48,0.0
番禺综合,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv,,,,,,广东,1920x1080,zbefine.txt,1327,200,成功,h264,1920x1080,25.0,有音频,4.012,5,9,,,0,0,0.0
丰宁综合频道,https://jwcdnqx.hebyun.com.cn/live/fengningzonghe/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,420,200,成功,h264,1920x1080,30.0,有音频,5.269,2,3,7.0,906478563aa9c7b7,23,45,0.0
黎城综合频道,http://111.53.96.67:8081/live/1/index.m3u8,,,,,,山西,1920x1080,zbefine.txt,405,200,成功,h264,1920x1080,25.0,有音频,1.937,6,9,9.0,92da6d35cbcc922a,1,48,0.0
江津新闻综合,http://222.179.155.21:1935/ch1.m3u8,,,,,,重庆,1920x1080,zbefine.txt,505,200,成功,h264,1920x1080,25.0,有音频,3.405,1,3,2.0,c7384731cec14f33,26,33,0.0
松原公共频道,http://stream8.jlntv.cn/sytv2/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,1785,200,成功,h264,720x576,25.0,有音频,2.981,2,1,8.0,9ac96530f1e7d238,24,48,0.0
长白山电视台,http://stream8.jlntv.cn/cbstv/sd/live.m3u8,,,,,,吉林,320x240,zbefine.txt,1790,200,成功,h264,320x240,25.0,有音频,2.237,6,9,9.0,ad52ad52ad52ad52,1,48,0.0
定襄综合,http://lbyzztfe.live.sxmty.com/live/hls/645ff4c60e0a49f0a203abbd73dd8be9/0720e665f10f48e98c9639f4f492fb4a-1.m3u8,,,,,,山西,1280x720,zbefine.txt,2010,200,成功,h264,1280x720,30.0,有音频,7.064,1,0,4.0,fa00000003ffffff,43,48,0.0
武夷山综合频道,http://fjwysdb.chinashadt.com:2036/live/1.stream/playlist.m3u8,,,,,,福建,720x576,zbefine.txt,1412,200,成功,h264,720x576,25.0,有音频,4.795,2,0,1.0,c0e8b51ccf27d227,38,45,0.0
平舆综合,http://live.dxhmt.cn:9081/tv/11723-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1630,200,成功,h264,1920x1080,25.0,有音频,8.641,5,8,2.0,8000000000000000,7,9,0.0
敦化一套,http://stream8.jlntv.cn/dhtv/playlist.m3u8,,,,,,吉林,720x576,zbefine.txt,691,200,成功,h264,720x576,25.0,有音频,3.384,6,9,9.0,d400000000000000,1,48,0.0
靖宇综合频道,http://stream8.jlntv.cn/jytv/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,1193,200,成功,h264,720x576,25.0,有音频,2.765,1,3,5.0,ff810103075f5e5e,27,45,0.0
确山综合,http://live.dxhmt.cn:9081/tv/11725-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1687,200,成功,h264,1920x1080,25.0,有音频,10.117,5,7,0.0,c46170dc1fa70f2b,12,12,0.0
武夷山文旅茶,http://fjwysdb.chinashadt.com:2036/live/3.stream/playlist.m3u8,,,,,,福建,720x576,zbefine.txt,798,200,成功,h264,720x576,25.0,有音频,6.93,1,0,1.0,c59a4a1fe517c50b,32,42,0.0
舞阳新闻综合,http://live.dxhmt.cn:9081/tv/11121-1.m3u8,,,,,,河南,720x576,zbefine.txt,1629,200,成功,h264,720x576,25.0,有音频,11.464,5,9,2.0,0000000000000000,4,6,0.0
泌阳新闻综合,http://live.dxhmt.cn:9081/tv/11726-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1671,200,成功,h264,1920x1080,25.0,有音频,11.801,5,8,0.0,96786c855a832f8f,6,6,0.0
璧山综合频道,http://222.179.42.129:8181/hls1.m3u8,,,,,,重庆,1920x1080,zbefine.txt,3818,200,成功,h264,1920x1080,25.0,有音频,4.549,2,0,2.0,b9fd071e344423e3,30,48,0.0
登封综合频道,http://live.dxhmt.cn:9081/tv/10185-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1601,200,成功,h264,1920x1080,25.0,有音频,12.401,5,8,4.0,fe430153017eb0fe,8,12,0.0
兰考新闻频道,http://live.dxhmt.cn:9081/tv/10225-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,225,200,成功,h264,1920x1080,25.0,有音频,12.814,5,7,0.0,87573a82646d7993,9,9,0.0
潢川综合频道,http://live.dxhmt.cn:9081/tv/11526-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,894,200,成功,h264,1920x1080,25.0,有音频,8.729,5,9,2.0,c92c36d3c92c36d3,1,3,0.0
宝丰综合频道,http://live.dxhmt.cn:9081/tv/10421-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,248,200,成功,h264,1920x1080,25.0,有音频,13.019,5,7,0.0,b1909b9dd05e2ce6,12,12,0.0
临颍综合频道,http://live.dxhmt.cn:9081/tv/11122-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1736,200,成功,h264,1920x1080,25.0,有音频,10.464,5,9,0.0,9e67c0b08f97b11a,3,3,0.0
长垣综合频道,http://live.dxhmt.cn:9081/tv/10728-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,247,200,成功,h264,1920x1080,25.0,有音频,13.273,5,8,2.0,982778a572cd339c,10,12,0.0
永城新闻,http://live.dxhmt.cn:9081/tv/11481-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1607,200,成功,h264,1920x1080,25.0,有音频,14.44,5,8,0.0,8c7be7738b94904c,6,6,0.0
梅河口综合,http://stream4.jlntv.cn/mhk/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,2260,200,成功,h264,720x576,25.0,有音频,2.618,2,1,2.0,f5c03fc0633e0766,31,48,0.0
泸州新闻综合,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel106011/playlist.m3u8,,,,,,四川,1280x720,zbefine.txt,947,200,成功,h264,1280x720,25.0,有音频,1.809,1,1,5.0,ede4923a6dc7a80c,43,48,0.0
宜阳综合频道,http://live.dxhmt.cn:9081/tv/10327-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,244,200,成功,h264,1920x1080,25.0,有音频,14.748,5,7,0.0,c0c26d7736b04bb9,12,12,0.0
通许综合频道,http://live.dxhmt.cn:9081/tv/10222-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,225,200,成功,h264,1920x1080,25.0,有音频,7.817,5,9,2.0,81832cd817879faf,4,6,0.0
武乡新闻综合,http://60.220.198.84:81/0.m3u8,,,,,,山西,1280x720,zbefine.txt,778,200,成功,h264,1280x720,30.0,有音频,2.417,2,3,7.0,b5b5b57a4a4a4a4a,29,48,0.0
泸州公共频道,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel102221/playlist.m3u8,,,,,,四川,1280x720,zbefine.txt,801,200,成功,h264,1280x720,,有音频,1.379,2,0,9.0,cc96696996969669,2,48,0.0
珲春新闻综合,http://stream8.jlntv.cn/hctv/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,518,200,成功,h264,720x576,25.0,有音频,3.033,2,0,2.0,b8d80fb6c1c79685,34,48,0.0
淇县电视台,http://live.dxhmt.cn:9081/tv/10622-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,244,200,成功,h264,1920x1080,25.0,有音频,7.292,5,8,0.0,aa8351784c1d3ff2,6,6,0.0
汤阴综合,http://live.dxhmt.cn:9081/tv/10523-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,245,200,成功,h264,1920x1080,25.0,有音频,16.155,5,8,1.0,ce2791689f96609e,5,6,0.0
上街电视台,http://live.dxhmt.cn:9081/tv/10106-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,230,200,成功,h264,1920x1080,25.0,有音频,16.128,5,8,0.0,fc1353e407ea311d,6,6,0.0
杞县新闻综合,http://live.dxhmt.cn:9081/tv/10221-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,225,200,成功,h264,1920x1080,25.0,有音频,16.93,5,9,0.0,ce2791e09f96609e,3,3,0.0
泸州科教频道,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel103074/playlist.m3u8,,,,,,四川,1280x720,zbefine.txt,217,200,成功,h264,1280x720,25.0,有音频,1.843,1,1,5.0,ede4923a6dc7a80c,42,48,0.0
巩义新闻综合,http://live.dxhmt.cn:9081/tv/10181-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1301,200,成功,h264,1920x1080,25.0,有音频,8.358,5,9,5.0,c3dc03bec523dc45,4,9,0.0
唐河一套,http://live.dxhmt.cn:9081/tv/11328-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1493,200,成功,h264,1920x1080,25.0,有音频,7.419,5,7,1.0,85d5e0482bf79d43,11,12,0.0
潼南综合频道,http://183.230.184.51:65500/tntv1.m3u8,,,,,,重庆,1920x1080,zbefine.txt,761,200,成功,h264,1920x1080,25.0,有音频,19.86,5,2,5.0,f0f0f0f0f00f0f0f,33,39,0.0
平泉综合频道,https://jwcdnqx.hebyun.com.cn/live/pqzh/1500k/tzwj_video.m3u8,,,,,,河北,1280x720,zbefine.txt,397,200,成功,h264,1280x720,25.0,有音频,4.415,2,3,7.0,ff00000000ffffff,23,48,0.0
龙井综合,http://stream8.jlntv.cn/ljtv/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,555,200,成功,h264,720x576,25.0,有音频,2.529,2,1,2.0,d0be0f4339e4423f,31,48,0.0
通化新闻,http://stream2.jlntv.cn/tonghua1/sd/live.m3u8,,,,,,吉林,1280x720,zbefine.txt,821,200,成功,h264,1280x720,25.0,有音频,2.677,2,1,4.0,de69969661c1a1cd,28,48,0.0
涉县新闻综合,https://jwcdnqx.hebyun.com.cn/live/SXTV1/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,2212,200,成功,h264,1920x1080,25.0,有音频,3.88,2,3,5.0,fea929a900d656d6,27,48,0.0
封丘新闻综合,http://live.dxhmt.cn:9081/tv/10727-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,247,200,成功,h264,1920x1080,25.0,有音频,6.771,5,8,0.0,97db68c30f8c3127,9,9,0.0
沁阳新闻综合,http://live.dxhmt.cn:9081/tv/10882-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,230,200,成功,h264,1920x1080,25.0,有音频,9.986,5,8,0.0,9899c93187bc07bb,9,9,0.0
松原新闻综合,http://stream2.jlntv.cn/sytv/sd/live.m3u8,,,,,,吉林,1280x720,zbefine.txt,2311,200,成功,h264,1280x720,25.0,有音频,2.604,2,1,8.0,9ac96530f1e7d238,12,48,0.0
新密新闻频道,http://live.dxhmt.cn:9081/tv/10183-2.m3u8,,,,,,河南,1920x1080,zbefine.txt,247,200,成功,h264,1920x1080,25.0,有音频,9.947,5,8,7.0,90f86ad0950f2f97,7,15,0.0
前郭综合频道,http://stream2.jlntv.cn/qg/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,279,200,成功,h264,720x576,25.0,有音频,2.689,2,1,5.0,ccf8f8f86c070707,30,48,0.0
孟州综合,http://live.dxhmt.cn:9081/tv/10883-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,993,200,成功,h264,1920x1080,25.0,有音频,10.901,5,8,0.0,97946ae125d39a2d,6,6,0.0
江源综合频道,http://stream10.jlntv.cn/jiangyuantv/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,2641,200,成功,h264,720x576,25.0,有音频,2.463,1,2,8.0,8d8977661e1d7870,27,48,0.0
九台综合,http://stream10.jlntv.cn/jiutaitv/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,2646,200,成功,h264,720x576,25.0,有音频,2.316,2,0,1.0,f686dbe984893bc0,33,48,0.0
吉林市新闻综合,http://stream2.jlntv.cn/jilin1/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,549,200,成功,h264,720x576,25.0,有音频,3.237,2,3,2.0,b7c34cbc4b9d4807,27,48,0.0
浚县一套,http://live.dxhmt.cn:9081/tv/10621-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,240,200,成功,h264,1920x1080,25.0,有音频,9.358,5,8,0.0,ad494ab5558a4b2f,6,6,0.0
昌黎综合频道,https://jwcdnqx.hebyun.com.cn/live/clzhpd/1500k/tzwj_video.m3u8,,,,,,河北,1280x720,zbefine.txt,1373,200,成功,h264,1280x720,30.0,有音频,3.985,6,2,2.0,8db97a46543e27a4,28,48,0.0
平泉影视频道,https://jwcdnqx.hebyun.com.cn/live/pqys/1500k/tzwj_video.m3u8,,,,,,河北,1280x720,zbefine.txt,341,200,成功,h264,1280x720,25.0,有音频,4.215,2,3,5.0,ff00000000ffffff,26,48,0.0
新野综合,http://live.dxhmt.cn:9081/tv/11329-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,230,200,成功,h264,1920x1080,25.0,有音频,7.221,5,8,2.0,0000000000000000,7,9,0.0
凉山新闻综合,http://file.yizu.tv/nmip-media/channellive/channel106606/playlist.m3u8,,,,,,四川,720x404,zbefine.txt,768,403,成功,h264,720x404,25.0,有音频,2.613,6,9,9.0,a59837324fa65b8c,1,48,0.0
靖江新闻综合,http://visit.jjbctv.com:1935/live/xwzhmb/playlist.m3u8,,,,,,江苏,1280x720,zbefine.txt,856,200,成功,h264,1280x720,25.0,有音频,8.605,1,2,1.0,c5523a2fe925969a,35,36,0.0
双阳综合,http://stream11.jlntv.cn/shuangyang/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,2743,200,成功,h264,720x576,25.0,有音频,2.201,1,1,2.0,e49d1be242621e7b,34,48,0.0
桦甸综合,http://stream10.jlntv.cn/huadian/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,493,200,成功,h264,720x576,25.0,有音频,3.843,1,3,7.0,c1ed923a6de7850c,27,48,0.0
凉山彝语频道,http://file.yizu.tv/nmip-media/channellive/channel107323/playlist.m3u8,,,,,,四川,720x404,zbefine.txt,702,403,成功,h264,720x404,25.0,有音频,5.672,6,9,9.0,f10db647e3888d9a,1,48,0.0
德惠综合,http://stream11.jlntv.cn/dehuitv/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,2770,200,成功,h264,720x576,25.0,有音频,2.225,2,1,7.0,ebcd92326d67a80c,28,48,0.0
荣昌综合频道,http://183.64.181.25:40023/rongchang01.m3u8,,,,,,重庆,720x404,zbefine.txt,806,200,成功,h264,720x404,25.0,有音频,3.511,1,0,4.0,98387275d98d862f,41,45,0.0
鲁山综合频道,http://live.dxhmt.cn:9081/tv/10423-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,247,200,成功,h264,1920x1080,25.0,有音频,10.976,5,8,2.0,97c9a28d076f32c6,7,9,0.0
郏县综合频道,http://live.dxhmt.cn:9081/tv/10425-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1042,200,成功,h264,1920x1080,25.0,有音频,7.755,5,9,5.0,be61e19e91c7c11c,4,9,0.0
壶关电视台,http://zmjp3jin.live.sxmty.com/live/hls/268fe96f955d496db37fb10bb887cda9/fc196029d289449ea524a94a95379a0d.m3u8,,,,,,山西,1920x1080,zbefine.txt,3383,200,成功,h264,1920x1080,25.0,有音频,7.466,1,0,2.0,e1e666f88b41f215,43,48,0.0
东丰综合,http://stream5.jlntv.cn/df/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,1336,200,成功,h264,720x576,25.0,有音频,3.126,2,1,7.0,986b58352d9a563d,31,48,0.0
双辽综合,http://stream5.jlntv.cn/sl/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,936,200,成功,h264,720x576,25.0,有音频,2.749,1,0,4.0,b4e08f4b6953d968,33,48,0.0
尉氏综合频道,http://live.dxhmt.cn:9081/tv/10223-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,225,200,成功,h264,1920x1080,25.0,有音频,12.971,5,7,0.0,b0971464eb8f5ad4,12,12,0.0
铜梁综合,http://183.64.174.171:40123/ch1.m3u8,,,,,,重庆,720x576,zbefine.txt,804,200,成功,h264,720x576,25.0,有音频,3.984,1,0,1.0,c3f234f0c2b5e3c2,47,48,0.0
宿州公共频道,http://live.ahsz.tv/video/s10001-ggpd/index.m3u8,,,,,,安徽,1920x1080,zbefine.txt,2599,200,成功,h264,1920x1080,25.0,有音频,2.256,6,9,9.0,0000000000000000,1,48,0.0
磐石综合,http://stream5.jlntv.cn/ps/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,2202,200,成功,h264,720x576,25.0,有音频,2.511,1,2,7.0,f0f0f0f0f00f0f0f,31,48,0.0
白城新闻综合,http://stream2.jlntv.cn/baicheng1/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,1317,200,成功,h264,720x576,25.0,有音频,2.415,2,3,7.0,b38c8c330c9973fc,25,48,0.0
武术世界,http://live.dxhmt.cn:9080/live/yshnpre.m3u8,,,,,,河南,1920x1080,zbefine.txt,227,200,成功,h264,1920x1080,25.0,有音频,9.865,5,9,,,0,0,0.0
集安综合频道,http://stream2.jlntv.cn/ja/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,278,200,成功,h264,720x576,25.0,有音频,2.194,6,2,7.0,8000000000000000,27,45,0.0
四平新闻综合,http://stream2.jlntv.cn/sptv/sd/live.m3u8,,,,,,吉林,1280x720,zbefine.txt,1358,200,成功,h264,1280x720,25.0,有音频,2.676,1,0,2.0,c4817b663ac51d1f,38,48,0.0
宿州新闻综合,http://live.ahsz.tv/video/s10001-szzh/index.m3u8,,,,,,安徽,1920x1080,zbefine.txt,3263,200,成功,h264,1920x1080,25.0,有音频,1.927,1,0,1.0,87b8d4a53847972b,39,42,0.0
辽源新闻综合,http://stream2.jlntv.cn/liaoyuan1/sd/live.m3u8,,,,,,吉林,1280x720,zbefine.txt,1367,200,成功,h264,1280x720,25.0,有音频,2.686,2,0,4.0,ded8072f382b3925,31,48,0.0
新县综合频道,http://live.dxhmt.cn:9081/tv/11523-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,230,200,成功,h264,1920x1080,25.0,有音频,10.414,5,8,0.0,d47b03e0f0f8fc03,9,9,0.0
辉南新闻综合,http://stream5.jlntv.cn/hn/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,514,200,成功,h264,720x576,25.0,有音频,2.853,2,0,2.0,abcd7426013b6a9d,33,48,0.0
宿州科教频道,http://live.ahsz.tv/video/s10001-kxjy/index.m3u8,,,,,,安徽,1920x1080,zbefine.txt,1929,200,成功,h264,1920x1080,25.0,有音频,3.905,1,0,0.0,d2a76e5227b86c31,39,39,0.0
淅川综合,http://live.dxhmt.cn:9081/tv/11326-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1212,200,成功,h264,1920x1080,25.0,有音频,15.907,5,8,0.0,c2bb2b899594dc96,6,6,0.0
农安新闻综合,http://stream2.jlntv.cn/naxw/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,1381,200,成功,h264,720x576,25.0,有音频,2.522,1,2,7.0,ebcd92926d67882c,30,48,0.0
吴忠综合,http://live.kanwz.net/zhpd/sd/live.m3u8,,,,,,宁夏,320x240,zbefine.txt,1029,200,成功,h264,320x240,25.0,有音频,3.52,6,9,9.0,ad52ad52ad52ad52,1,48,0.0
迁西综合频道,https://jwcdnqx.hebyun.com.cn/live/qxzhpd/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,263,200,成功,h264,1920x1080,25.0,有音频,3.766,2,3,7.0,c3f03c78c3873c1d,25,48,0.0
菏泽经济生活,http://zb.hezegd.com:1935/live/hztv2/1000k/tzwj_video.m3u8,,,,,,山东,1280x720,zbefine.txt,1517,200,成功,h264,1280x720,25.0,有音频,1.735,6,3,5.0,d894c0f7b504ed2d,27,48,0.0
舒兰新闻综合,http://stream8.jlntv.cn/shulan/sd/live.m3u8,,,,,,吉林,320x240,zbefine.txt,289,200,成功,h264,320x240,25.0,有音频,2.113,6,9,9.0,ad52ad52ad52ad52,1,48,0.0
