频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,帧率,音频,ffprobe探测时间,筛除原因,是否灰区,灰区原因,灰区建议动作,动态值（阈值 ≤ 10）,主phash总出现次数,主phash占比,主phash值,前三主phash重复比例（阈值 ≥ 70%）,锚点一致率-2秒（阈值 ≥ 95%）,锚点一致率-32秒（阈值 ≥ 95%）,静态评分,最近一次动态分,历史动态稳定分,内容集中度分,锚点软加分,当前置信度,历史置信度,首次出现时间
CCTV-3,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd,,,,CCTV-3,CCTV-3,,,https://www.xn--rgv465a.top/tvlogo/CCTV-3.png,📺央视频道,1280x720,Guovin.txt,152,200,成功,h264,25.0,有音频,1.033,未筛除,否,,,0.00,6,0.0182,a5d138f4cbc18e8e,5.45%,1.82%,1.82%,54.48,100.00,44.04,5.45,1.82,6,1.0000,2026-07-23 00:11:00
青海卫视,http://198.204.228.26/live/qhws.m3u8,,,,青海卫视,青海卫视,,,https://www.xn--rgv465a.top/tvlogo/青海卫视.png,📡卫视频道,720x576,Guovin.txt,98,200,成功,h264,25.0,有音频,0.935,未筛除,否,,,80.00,10,0.0303,ea4996966163956d,6.67%,1.82%,3.64%,21.47,20.00,39.54,6.67,2.73,6,1.0000,2026-07-08 03:33:00
深圳卫视,http://107.150.60.122/live/szwshd.m3u8,,,,深圳卫视,深圳卫视,,,https://www.xn--rgv465a.top/tvlogo/深圳卫视.png,📡卫视频道,1920x1080,Guovin.txt,151,200,成功,h264,25.0,有音频,1.002,未筛除,否,,,86.67,6,0.0182,9c72ecac9b93070d,5.45%,1.82%,1.82%,17.04,13.33,34.79,5.45,1.82,6,1.0000,2026-07-08 03:33:00
CCTV-11,http://74.91.26.218:82/live/cctv11hd.m3u8,,,,CCTV-11,CCTV-11,,,https://www.xn--rgv465a.top/tvlogo/CCTV-11.png,📺央视频道,1280x720,Guovin.txt,99,200,成功,h264,25.0,有音频,1.049,未筛除,否,,,60.00,7,0.0216,e1887cc313cf3e61,5.86%,3.70%,1.85%,29.51,40.00,40.19,5.86,2.78,6,1.0000,2026-07-08 03:33:00
黑龙江卫视,http://107.150.60.122/live/hljwshd.m3u8,,,,黑龙江卫视,黑龙江卫视,,,https://www.xn--rgv465a.top/tvlogo/黑龙江卫视.png,📡卫视频道,1920x1080,Guovin.txt,150,200,成功,h264,25.0,有音频,0.952,未筛除,否,,,80.00,6,0.0278,cc3173c614ce31cf,7.87%,2.86%,2.86%,18.90,20.00,30.13,7.87,2.86,6,0.9722,2026-07-14 01:09:00
海南卫视,http://204.12.221.218:8181/3m1080p/lyws.m3u8,,,,海南卫视,海南卫视,,,https://www.xn--rgv465a.top/tvlogo/海南卫视.png,📡卫视频道,1920x1080,Guovin.txt,100,200,成功,h264,25.0,有音频,1.108,未筛除,否,,,80.00,6,0.0217,c8d8766254dd1727,6.52%,2.17%,2.17%,20.87,20.00,37.84,6.52,2.17,6,1.0000,2026-07-12 02:37:00
央视台球,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ystq,,,,央视台球,央视台球,,,https://www.xn--rgv465a.top/tvlogo/央视台球.png,💰央视付费频道,1920x1080,Guovin.txt,149,200,成功,h264,25.0,有音频,1.146,未筛除,否,,,33.33,6,0.0182,8734b0a53fc30bcb,5.45%,1.82%,1.82%,38.50,66.67,35.21,5.45,1.82,6,1.0000,2026-07-12 23:39:00
CETV-1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cetv1hd,,,,CETV-1,CETV-1,,,https://www.xn--rgv465a.top/tvlogo/CETV-1.png,📺央视频道,1920x1080,Guovin.txt,207,200,成功,h264,25.0,有音频,1.156,未筛除,否,,,80.00,5,0.0152,bed0557a35ea2087,3.64%,1.82%,1.82%,12.60,20.00,12.30,3.64,1.82,6,1.0000,2026-07-11 13:49:00
浙江卫视,http://107.150.60.122/live/zjwshd.m3u8,,,,浙江卫视,浙江卫视,,,https://www.xn--rgv465a.top/tvlogo/浙江卫视.png,📡卫视频道,1920x1080,Guovin.txt,98,200,成功,h264,25.0,有音频,1.143,未筛除,否,,,93.33,6,0.0182,f481c01e23e13efe,5.45%,1.82%,1.82%,14.32,6.67,34.62,5.45,1.82,6,1.0000,2026-07-08 03:33:00
河南卫视,http://204.12.221.218:8181/3m1080p/haws.m3u8,,,,河南卫视,河南卫视,,,https://www.xn--rgv465a.top/tvlogo/河南卫视.png,📡卫视频道,1920x1080,Guovin.txt,99,200,成功,h264,25.0,有音频,1.167,未筛除,否,,,80.00,6,0.0217,de63c787438285ce,6.52%,2.22%,4.44%,20.06,20.00,34.74,6.52,3.33,6,0.9783,2026-07-12 02:37:00
