频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率.1,帧率,音频,ffprobe探测时间,实际检测次数,有效检测率,首次出现时间,当前动态评分,当前检测置信度,长 GOP 预判,轮播预判,总采样次数,有效采样次数,动态样本次数,历史动态评分,历史置信度,主 phash,主 phash 出现次数,重复指数,时间跨度覆盖度,phash 集中度,锚点一致率,最大连续重复长度,单天最大连续重复,轮播源评分,轮播源等级,静态源评分,静态源等级,是否夜间停播
柳河综合,http://stream5.jlntv.cn/lh/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,355,200,成功,h264,720x576,25.0,有音频,2.36,14,1.0,2601162217-hash-merge,100.0,6,1,1,14,14,10,28.57142857142857,14,dc03030307fcfcfc,4,0.2857,0.9286,0.4286,0.2857,0.0714,1.0,39.6429,轻微轮播特征,60.5714,疑似静态源,0
金川新闻综合,http://139.203.180.9:90/live/zhxw.m3u8,,,,,,四川,1920x1080,zbefine.txt,758,200,成功,h264,1920x1080,25.0,有音频,2.392,14,0.8571428571428571,2601162217-hash-merge,19.999999999999996,6,0,0,14,12,12,0.0,12,d51587a4ac9b5a6a,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,24.6,动态源,0
荆门新闻综合,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8,,,,,,湖北,1920x1080,zbefine.txt,1126,200,成功,h264,1920x1080,25.0,有音频,2.431,14,1.0,2601162217-hash-merge,100.0,6,1,1,14,14,10,28.57142857142857,14,88d5a3d7ccb95232,4,0.2857,0.9286,0.5,0.2857,0.0714,1.0,40.7143,轻微轮播特征,60.5714,疑似静态源,0
荆门教育频道,http://stream.jmtv.com.cn/ggsh/sd/live.m3u8,,,,,,湖北,1920x1080,zbefine.txt,479,200,成功,h264,1920x1080,25.0,有音频,2.531,14,1.0,2601162217-hash-merge,100.0,6,1,1,14,14,10,28.57142857142857,14,a7878d0d2672f0f8,4,0.2857,0.9286,0.4286,0.2857,0.0714,1.0,39.6429,轻微轮播特征,60.5714,疑似静态源,0
辉南新闻综合,http://stream5.jlntv.cn/hn/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,299,200,成功,h264,720x576,25.0,有音频,2.624,14,1.0,2601162217-hash-merge,13.33333333333333,6,0,0,14,14,14,0.0,14,95ca40119fcf63b9,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,22.4,动态源,0
金川新闻综合,http://live.jinchuanrmt.com:90/live/zhxw.m3u8,,,,,,四川,1920x1080,zbefine.txt,895,200,成功,h264,1920x1080,25.0,有音频,2.647,14,0.9285714285714286,2601162217-hash-merge,19.999999999999996,6,0,0,14,13,13,0.0,13,e4db94fd641cc322,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,24.6,动态源,0
集安综合频道,http://stream2.jlntv.cn/ja/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,282,200,成功,h264,720x576,25.0,有音频,2.651,14,1.0,2601162217-hash-merge,13.33333333333333,6,0,0,14,14,9,35.71428571428571,14,8000000000000000,4,0.2857,0.6429,0.4286,0.3571,0.1429,1.0,38.2143,轻微轮播特征,34.6143,疑似动态源,0
晋城新闻,http://live.jinnews.com.cn/xwzh/sd/live.m3u8,,,,,,山西,1920x1080,zbefine.txt,845,200,成功,h264,1920x1080,25.0,有音频,2.666,14,1.0,2601162217-hash-merge,13.33333333333333,6,0,0,14,14,14,0.0,14,ab8a36794c672955,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,22.4,动态源,0
荆门公共频道,http://stream.jmtv.com.cn/ngpd/sd/live.m3u8,,,,,,湖北,1920x1080,zbefine.txt,240,200,成功,h264,1920x1080,25.0,有音频,1.536,14,1.0,2601162217-hash-merge,100.0,6,1,1,14,14,0,100.0,14,8282202020202082,14,1.0,1.0,1.0,1.0,1.0,1.0,100.0,强烈轮播特征,100.0,静态源,0
兰考新闻频道,http://live.dxhmt.cn:9081/tv/10225-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,213,200,成功,h264,1920x1080,25.0,有音频,2.862,14,0.21428571428571427,2601162217-hash-merge,6.666666666666665,6,0,0,14,3,3,0.0,3,b30c973c6543dd8c,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,20.2,动态源,0
通化县综合,http://stream5.jlntv.cn/thx/sd/live.m3u8,,,,,,吉林,320x240,zbefine.txt,295,200,成功,h264,320x240,25.0,有音频,1.79,14,1.0,2601162217-hash-merge,100.0,6,1,1,14,14,0,100.0,14,ad52ad52ad52ad52,14,1.0,1.0,1.0,1.0,1.0,1.0,100.0,强烈轮播特征,100.0,静态源,0
晋城公共,http://live.jinnews.com.cn/ggpd/sd/live.m3u8,,,,,,山西,1920x1080,zbefine.txt,808,200,成功,h264,1920x1080,25.0,有音频,3.021,14,1.0,2601162217-hash-merge,40.0,6,1,0,14,14,14,0.0,14,e0c27b83118bfe69,3,0.2143,0.9286,0.3571,0.0,0.0714,1.0,31.0714,轻微轮播特征,33.2,疑似动态源,0
武陟新闻综合,http://live.dxhmt.cn:9081/tv/10823-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,215,200,成功,h264,1920x1080,25.0,有音频,3.436,14,0.21428571428571427,2601162217-hash-merge,100.0,6,1,1,14,3,0,100.0,3,0000000000000000,3,0.2143,0.9286,0.2143,1.0,0.0714,1.0,48.9286,轻微轮播特征,76.0,静态源,0
杞县新闻综合,http://live.dxhmt.cn:9081/tv/10221-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,213,200,成功,h264,1920x1080,25.0,有音频,2.338,14,0.14285714285714285,2601162217-hash-merge,6.666666666666665,6,0,0,14,2,2,0.0,2,b10e933e70e3ce8c,1,0.0714,0.0714,0.1429,0.0,0.0714,1.0,11.4286,无轮播特征,20.2,动态源,0
孟津新闻频道,http://live.dxhmt.cn:9081/tv/10322-2.m3u8,,,,,,河南,1920x1080,zbefine.txt,214,200,成功,h264,1920x1080,25.0,有音频,3.494,14,0.21428571428571427,2601162217-hash-merge,0.0,6,0,0,14,3,3,0.0,3,a6d994f7a614c919,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,18.0,动态源,0
永清影视频道,http://60.10.203.69:8000/4.m3u8,,,,,,河北,1920x1080,zbefine.txt,508,200,成功,h264,1920x1080,30.0,有音频,1.839,14,1.0,2601162217-hash-merge,100.0,6,1,1,14,14,7,50.0,14,a3cd92326de7982c,14,1.0,1.0,1.0,0.8571,1.0,1.0,97.1429,强烈轮播特征,88.5,静态源,0
万州综合频道,http://123.146.162.24:8017/iTXwrGs/800/live.m3u8,,,,,,重庆,720x576,zbefine.txt,437,200,成功,h264,720x576,25.0,有音频,1.41,14,1.0,2601162217-hash-merge,100.0,6,1,1,14,14,0,100.0,14,fe00000000000000,14,1.0,1.0,1.0,1.0,1.0,1.0,100.0,强烈轮播特征,100.0,静态源,0
