检测次数,动态级别,平均抓帧时间,抓帧失败次数,出现最多次数phash的次数,出现最多次数的phash值,频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率.1,帧率,音频,ffprobe探测时间
6,27,2.5858296703333203,0,6,ff00000000000000,临夏市电视台,http://124.152.34.102:8030/wCMq71/wCMq71_0.m3u8,,,,,,甘肃,1920x1080,zbefine.txt,799,200,成功,h264,1920x1080,25.0,有音频,2.379
6,56,3.0150359343333357,0,3,8cca557405fd2a7a,集安综合频道,http://stream2.jlntv.cn/ja/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,325,200,成功,h264,720x576,25.0,有音频,2.834
7,0,1.7778293746666425,0,21,fe00000000000000,万州综合频道,http://123.146.162.24:8017/iTXwrGs/800/live.m3u8,,,,,,重庆,720x576,zbefine.txt,518,200,成功,h264,720x576,25.0,有音频,1.716
7,41,3.2159633960000065,0,3,a572725949ac538f,永清综合频道,http://60.10.203.69:8000/0.m3u8,,,,,,河北,1920x1080,zbefine.txt,909,200,成功,h264,1920x1080,25.0,有音频,3.275
7,6,2.734616048999991,0,20,a3cd92326de7982c,永清影视频道,http://60.10.203.69:8000/4.m3u8,,,,,,河北,1920x1080,zbefine.txt,627,200,成功,h264,1920x1080,30.0,有音频,2.091
7,77,2.882925612000008,0,2,e51492c8bca767b2,黑水新闻综合,http://live.schstv.com:90/live/xwzh.m3u8,,,,,,四川,1920x1080,zbefine.txt,1968,200,成功,h264,1920x1080,25.0,有音频,2.129
7,22,3.83950129533334,0,3,8769727126de4f11,金川乡村频道,http://live.jinchuanrmt.com:90/live/jcxc.m3u8,,,,,,四川,1024x576,zbefine.txt,851,200,成功,h264,1024x576,25.0,有音频,2.289
7,84,5.794429540499998,1,18,,邓州新闻,http://live.dxhmt.cn:9081/tv/11381-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,274,200,成功,h264,1920x1080,25.0,有音频,3.617
4,36,2.7512249270000098,0,3,,哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8,,,,,,黑龙江,640x480,zbefine.txt,656,200,成功,h264,640x480,25.0,有音频,2.405
7,84,8.062956212749981,1,18,,襄城综合频道,http://live.dxhmt.cn:9081/tv/11025-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,274,200,成功,h264,1920x1080,25.0,有音频,3.941
7,0,3.064854380999975,0,21,ad52ad52ad52ad52,通化县综合,http://stream5.jlntv.cn/thx/sd/live.m3u8,,,,,,吉林,320x240,zbefine.txt,359,200,成功,h264,320x240,25.0,有音频,2.675
7,77,7.034675823666684,0,18,,扶沟综合频道,http://live.dxhmt.cn:9081/tv/11621-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,275,200,成功,h264,1920x1080,25.0,有音频,4.017
7,16,2.524212381333333,0,6,dc03030307fcfcfc,柳河综合,http://stream5.jlntv.cn/lh/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,310,200,成功,h264,720x576,25.0,有音频,4.063
7,75,5.870470862000009,0,2,e0c27b8b018bfe69,晋城新闻,http://live.jinnews.com.cn/xwzh/sd/live.m3u8,,,,,,山西,1920x1080,zbefine.txt,944,200,成功,h264,1920x1080,25.0,有音频,4.076
7,81,4.239539352666668,0,2,e0c27b83118bfe69,晋城公共,http://live.jinnews.com.cn/ggpd/sd/live.m3u8,,,,,,山西,1920x1080,zbefine.txt,584,200,成功,h264,1920x1080,25.0,有音频,4.084
7,63,8.31090735766666,0,18,,台前新闻综合,http://live.dxhmt.cn:9081/tv/10927-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,273,200,成功,h264,1920x1080,25.0,有音频,3.506
7,84,7.815243965666677,0,15,,鹿邑新闻频道,http://live.dxhmt.cn:9081/tv/11628-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,273,200,成功,h264,1920x1080,25.0,有音频,3.994
7,84,7.6168219036666756,0,18,,孟津新闻频道,http://live.dxhmt.cn:9081/tv/10322-2.m3u8,,,,,,河南,1920x1080,zbefine.txt,276,200,成功,h264,1920x1080,25.0,有音频,4.593
7,74,2.492687515,0,6,,哈尔滨新闻综合,http://stream.hrbtv.net/xwzh/sd/live.m3u8,,,,,,黑龙江,640x480,zbefine.txt,714,200,成功,h264,640x480,25.0,有音频,2.176
