频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码
CCTV5,http://183.11.239.36:808/hls/93/index.m3u8,,,,,CCTV5,,,,,,TianmuTNT.txt,467,200
CCTV6,http://183.11.239.36:808/hls/94/index.m3u8,,,,,CCTV6,,,,,,TianmuTNT.txt,441,200
CCTV6,http://58.57.40.22:9901/tsfile/live/1006_1.m3u8,,,,,CCTV6,,,,,,TianmuTNT.txt,442,200
山东卫视,http://120.76.248.139/live/bfgd/4200000099.m3u8,,,,,山东卫视,,,,,,TianmuTNT.txt,438,200
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8,,,,,CCTV5,,,,,,TianmuTNT.txt,445,200
CCTV6,http://120.76.248.139/live/bfgd/4200000065.m3u8,,,,,CCTV6,,,,,,TianmuTNT.txt,442,200
CCTV7,http://8.138.7.223/tv/cctv7.m3u8,,,,,CCTV7,,,,,,TianmuTNT.txt,440,200
CCTV7,http://8.138.7.223/【公众号：榴芒电视】/cctv7.m3u8,,,,,CCTV7,,,,,,TianmuTNT.txt,439,200
CCTV7,http://58.57.40.22:9901/tsfile/live/1007_1.m3u8,,,,,CCTV7,,,,,,TianmuTNT.txt,446,200
大湾区卫视,http://183.11.239.36:808/hls/132/index.m3u8,,,,,大湾区卫视,,,,,,TianmuTNT.txt,447,200
河南卫视,http://58.57.40.22:9901/tsfile/live/1048_1.m3u8,,,,,河南卫视,,,,,,TianmuTNT.txt,466,200
CCTV5,http://112.46.85.60:8009/hls/503/index.m3u8,,,,,CCTV5,,,,,,TianmuTNT.txt,484,200
CCTV6,http://182.150.23.74:808/hls/6/index.m3u8,,,,,CCTV6,,,,,,TianmuTNT.txt,521,200
河南卫视,http://120.76.248.139/live/bfgd/4200000339.m3u8,,,,,河南卫视,,,,,,TianmuTNT.txt,543,200
环球旅游,http://120.76.248.139/live/bfgd/4200000147.m3u8,,,,,环球旅游,,,,,,TianmuTNT.txt,554,200
甘肃卫视,http://111.61.236.247:9081/hls/54/index.m3u8,,,,,甘肃卫视,,,,,,TianmuTNT.txt,561,200
甘肃卫视,http://183.11.239.36:808/hls/119/index.m3u8,,,,,甘肃卫视,,,,,,TianmuTNT.txt,200,200
CCTV7,http://120.76.248.139/live/bfgd/4200000127.m3u8,,,,,CCTV7,,,,,,TianmuTNT.txt,191,200
山东卫视,http://182.150.23.74:808/hls/23/index.m3u8,,,,,山东卫视,,,,,,TianmuTNT.txt,498,200
甘肃卫视,http://58.57.40.22:9901/tsfile/live/1056_1.m3u8,,,,,甘肃卫视,,,,,,TianmuTNT.txt,1071,200
东南卫视,http://58.57.40.22:9901/tsfile/live/1037_1.m3u8,,,,,东南卫视,,,,,,TianmuTNT.txt,1076,200
东南卫视,http://36.32.174.67:60080/newlive/live/hls/33/live.m3u8,,,,,东南卫视,,,,,,TianmuTNT.txt,666,200
CCTV7,http://183.11.239.36:808/hls/25/index.m3u8,,,,,CCTV7,,,,,,TianmuTNT.txt,689,200
东南卫视,http://120.76.248.139/live/bfgd/4200000483.m3u8,,,,,东南卫视,,,,,,TianmuTNT.txt,307,200
广东-汕头市小公园,http://gcksc.v.kcdnvip.com/gc/bsszjs_1/index.m3u8,,,,,,,,,景区,,zbefine.txt,1368,403
河南卫视,http://183.11.239.36:808/hls/51/index.m3u8,,,,,河南卫视,,,,,,TianmuTNT.txt,1459,200
广东-梅州梅江,http://gcalic.v.myalicdn.com/gc/gllj01_1/index.m3u8,,,,,,,,,景区,,zbefine.txt,1466,200
甘肃卫视,http://120.76.248.139/live/bfgd/4200000119.m3u8,,,,,甘肃卫视,,,,,,TianmuTNT.txt,296,200
河南卫视,http://182.150.23.74:808/hls/33/index.m3u8,,,,,河南卫视,,,,,,TianmuTNT.txt,1540,200
CCTV6,https://piccpndali.v.myalicdn.com/audio/cctv6_2.m3u8,,,,,CCTV6,,,,,,TianmuTNT.txt,1575,200
河南卫视,http://cssbyd.imwork.net:8082/hls/37/index.m3u8,,,,,河南卫视,,,,,,TianmuTNT.txt,1590,200
1987年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8,,,,,1987年春晚,,,,,,TianmuTNT.txt,1163,200
