频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,未通过信息,相似度,是否假源,是否轮回,轮回相似度,轮回波动
,http://pili-publish.living.ksrmtzx.com/ksntv/ks-tv.m3u8,,,0.543,,,,,无音频,error,0.0,False,False,0,0
,http://ganyu-tv-hls.cm.jstv.com/ganyu-tv/ganyutv.m3u8,,,0.553,,,,,无音频,error,0.0,False,False,0,0
,https://pili-live-hls.wdit.com.cn/wditlive/15472c98517744b994e85c9c60cc93cf6a3b.m3u8,,,0.232,,,,,无音频,error,0.0,False,False,0,0
,http://zhpull.dxhmt.cn/jiaozuo/c5eb91b47f0e42318f34fc0247c8acaa/playlist.m3u8,,,0.696,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11481-2.m3u8,,,0.922,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn/tv/11481-3.m3u8,,,0.906,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11326-1.m3u8,,,0.915,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11726-1.m3u8,,,0.919,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11024-1.m3u8,,,0.931,,,,,无音频,error,0.0,False,False,0,0
,http://zhpull.dxhmt.cn/jiaozuo/29b65b69130c4ef1a3283cc7b913da05/playlist.m3u8,,,0.154,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10324-1.m3u8,,,0.089,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11723-1.m3u8,,,0.111,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11282-1.m3u8,,,0.095,,,,,无音频,error,0.0,False,False,0,0
,http://yangzhong-tv-hls.cm.jstv.com/yangzhong-tv/xwzh.m3u8,,,0.107,,,,,无音频,error,0.0,False,False,0,0
,http://liveplay-kk.rtxapp.com/live/program/live/kkyinj/1300000/mnf.m3u8,,,1.156,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11524-1.m3u8,,,0.081,,,,,无音频,error,0.0,False,False,0,0
,http://media.hndyjyfw.gov.cn/live/jz-henandushi/live.m3u8,,,0.956,,,,,无音频,error,0.0,False,False,0,0
,http://liveplay-kk.rtxapp.com/live/program/live/kkernj/1300000/mnf.m3u8,,,0.772,,,,,无音频,error,0.0,False,False,0,0
,http://hls.quklive.com/live/1577759320319924/index.m3u8,,,0.705,,,,,无音频,error,0.0,False,False,0,0
,http://stream2.xiancity.cn/xatv4/sd/live.m3u8,,,2.491,,,,,无音频,error,0.0,False,False,0,0
,http://stream2.xiancity.cn/xatv5/sd/live.m3u8,,,2.465,,,,,无音频,error,0.0,False,False,0,0
,http://stream2.xiancity.cn/xatv6/sd/live.m3u8,,,2.523,,,,,无音频,error,0.0,False,False,0,0
,http://media.hndyjyfw.gov.cn/live/jz-henanminsheng/live.m3u8,,,0.988,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11081-1.m3u8,,,0.075,,,,,无音频,error,0.0,False,False,0,0
,http://stream2.xiancity.cn/xatv7/sd/live.m3u8,,,0.661,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn/tv/11481-4.m3u8,,,0.069,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11329-1.m3u8,,,0.077,,,,,无音频,error,0.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/10726-1.m3u8,,,4.816,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
