频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度,是否假源,是否轮回,轮回相似度,轮回波动
,http://pili-live-rtmp.148.i2863.com/i2863-148/live_148_811389.m3u8,,,2.677,,h264,1280x720,25.0,有音频,1.0,False,False,0,0
,http://stream2.jlntv.cn/sytv/sd/live.m3u8,,,3.057,,h264,1280x720,25.0,有音频,1.0,False,False,0,0
,http://stream2.jlntv.cn/baicheng1/sd/live.m3u8,,,2.145,,h264,720x576,25.0,有音频,1.0,False,False,0,0
,http://110.189.153.160:1002/ggpd.flv,,,2.602,,h264,720x480,25.0,有音频,1.0,False,False,0,0
,http://zb.hezegd.com:1935/live/hztv2/1000k/tzwj_video.m3u8,,,1.944,,h264,1280x720,25.0,有音频,1.0,False,False,0,0
,https://jwcdnqx.hebyun.com.cn/live/hdgg/1500k/tzwj_video.m3u8,,,4.859,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,https://jwcdnqx.hebyun.com.cn/live/SXTV1/1500k/tzwj_video.m3u8,,,4.662,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://110.189.153.160:1001/zhpd.flv,,,5.441,,,,,无音频,1.0,False,False,0,0
,http://zb.hezegd.com:1935/live/hztv1/1000k/tzwj_video.m3u8,,,2.636,,h264,1280x720,25.0,有音频,1.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/10725-1.m3u8,,,6.859,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://stream8.jlntv.cn/cbstv/sd/live.m3u8,,,2.153,,h264,320x240,25.0,有音频,1.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11121-1.m3u8,,,6.993,,h264,720x576,25.0,有音频,1.0,False,False,0,0
,http://visit.jjbctv.com:1935/live/xwzhmb/playlist.m3u8,,,4.010,,h264,1280x720,25.0,有音频,1.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/10324-1.m3u8,,,5.340,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000068,,,7.269,,mpeg2video,720x576,25.0,有音频,1.0,False,False,0,0
,http://lbyzztfe.live.sxmty.com/live/hls/645ff4c60e0a49f0a203abbd73dd8be9/0720e665f10f48e98c9639f4f492fb4a-1.m3u8,,,6.432,,h264,1280x720,30.0,有音频,1.0,False,False,0,0
,https://jwcdnqx.hebyun.com.cn/live/hdkj/1500k/tzwj_video.m3u8,,,3.727,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11628-1.m3u8,,,6.717,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://stream8.jlntv.cn/sytv2/sd/live.m3u8,,,2.475,,h264,720x576,25.0,有音频,1.0,False,False,0,0
,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8,,,2.379,,h264,960x540,25.0,有音频,1.0,False,False,0,0
,http://file.ysxtv.cn/cms/videos/nmip-media/channellive/channel4/playlist.m3u8,,,5.058,,,,,无音频,1.0,False,False,0,0
,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8,,,4.829,,h264,960x540,25.0,有音频,1.0,False,False,0,0
,http://live.cms.anhuinews.com/video/s10003-lbtv/index.m3u8,,,8.520,,h264,640x480,25.0,有音频,1.0,False,False,0,0
,http://live.schstv.com:90/live/xwzh.m3u8,,,1.861,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://7sycrzf7.live.sxmty.com/live/hls/da9222d15ce7491d85fe3519e5201df5/af161dfd2a434b22b3b75fdd72fb9038-1.m3u8,,,8.872,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,https://jwcdnqx.hebyun.com.cn/live/qxtvlive1/1500k/tzwj_video.m3u8,,,4.053,,h264,1280x720,25.0,有音频,1.0,False,False,0,0
,http://ggpagerl.live.sxmty.com/live/hls/b350dc1ac5da45c2b2233f6eb122ddf4/49d3766c7f204685a2a8f027b234c33d.m3u8,,,8.973,,h264,640x360,30.0,有音频,1.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11726-1.m3u8,,,6.519,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://jrlive.jrntv.com/live/_definst_/jrxwzhs/playlist.m3u8,,,9.688,,h264,720x576,25.0,有音频,1.0,False,False,0,0
,http://jrlive.jrntv.com/live/_definst_/yingshis/playlist.m3u8,,,9.699,,h264,720x576,25.0,有音频,1.0,False,False,0,0
,http://183.64.181.25:40023/rongchang01.m3u8,,,2.332,,h264,720x404,25.0,有音频,1.0,False,False,0,0
,https://jwcdnqx.hebyun.com.cn/live/rqtv1/1500k/tzwj_video.m3u8,,,3.604,,h264,1920x1080,50.0,有音频,1.0,False,False,0,0
,http://111.53.96.67:8081/live/1/index.m3u8,,,1.916,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://live.jinnews.com.cn/ggpd/sd/live.m3u8,,,3.035,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://stream2.jlntv.cn/naxw/sd/live.m3u8,,,2.811,,h264,720x576,25.0,有音频,1.0,False,False,0,0
,http://live.jinnews.com.cn/xwzh/sd/live.m3u8,,,3.931,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://stream10.jlntv.cn/jiutaitv/sd/live.m3u8,,,3.283,,h264,720x576,25.0,有音频,1.0,False,False,0,0
,http://stream11.jlntv.cn/dehuitv/sd/live.m3u8,,,2.956,,h264,720x576,25.0,有音频,1.0,False,False,0,0
,http://139.203.180.9:90/live/jcxc.m3u8,,,2.368,,h264,1024x576,25.0,有音频,1.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11329-1.m3u8,,,7.456,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://jrlive.jrntv.com/live/_definst_/dangjians/playlist.m3u8,,,14.440,,h264,720x576,25.0,有音频,1.0,False,False,0,0
,http://stream11.jlntv.cn/shuangyang/sd/live.m3u8,,,2.318,,h264,720x576,25.0,有音频,1.0,False,False,0,0
,http://stream10.jlntv.cn/jiangyuantv/sd/live.m3u8,,,2.394,,h264,720x576,25.0,有音频,1.0,False,False,0,0
,http://live-echotv.cdnvideo.ru/echotv/echotv.sdp/playlist.m3u8,,,3.190,,h264,1024x576,25.0,有音频,1.0,False,False,0,0
,http://live.jinchuanrmt.com:90/live/jcxc.m3u8,,,3.700,,h264,1024x576,25.0,有音频,1.0,False,False,0,0
,http://stream8.jlntv.cn/jytv/sd/live.m3u8,,,2.317,,h264,720x576,25.0,有音频,1.0,False,False,0,0
,http://60.220.198.84:81/0.m3u8,,,2.392,,h264,1280x720,30.0,有音频,1.0,False,False,0,0
,http://222.179.42.129:8181/hls1.m3u8,,,7.208,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/10185-1.m3u8,,,8.778,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11324-1.m3u8,,,9.502,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,https://jwcdnqx.hebyun.com.cn/live/xxzhpd/1500k/tzwj_video.m3u8,,,4.069,,h264,800x448,30.0,有音频,1.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11523-1.m3u8,,,10.785,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://hbzqdb.chinashadt.com:1937/live/zqzh.stream_360p/playlist.m3u8,,,4.844,,h264,640x360,25.0,有音频,1.0,False,False,0,0
,http://stream8.jlntv.cn/dhtv/playlist.m3u8,,,3.107,,h264,720x576,25.0,有音频,1.0,False,False,0,0
,https://jwcdnqx.hebyun.com.cn/live/clzhpd/1500k/tzwj_video.m3u8,,,4.061,,h264,1280x720,30.0,有音频,1.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11224-1.m3u8,,,13.482,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://live.spccmc.com:90/live/spxwzh.m3u8,,,2.135,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,https://jwcdnqx.hebyun.com.cn/live/cdslywh/1500k/tzwj_video.m3u8,,,3.091,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11627-1.m3u8,,,11.845,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://live.kanwz.net/ggpd/sd/live.m3u8,,,2.276,,h264,320x240,25.0,有音频,1.0,False,False,0,0
,http://live.ahsz.tv/video/s10001-ggpd/index.m3u8,,,2.430,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://live.iwcmt.cn:90/live/zhxw.m3u8,,,1.899,,h264,1280x720,25.0,有音频,1.0,False,False,0,0
,http://live1.gatv.com.cn:85/live/GGPD_ggpdzm.m3u8,,,7.103,,h264,720x576,25.0,有音频,1.0,False,False,0,0
,https://jwcdnqx.hebyun.com.cn/live/cdsxwzhtv/1500k/tzwj_video.m3u8,,,3.582,,h264,960x540,25.0,有音频,1.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11722-1.m3u8,,,8.273,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://stream5.jlntv.cn/dl/sd/live.m3u8,,,2.161,,h264,720x576,25.0,有音频,1.0,False,False,0,0
,http://stream.hrbtv.net/ylpd/sd/live.m3u8,,,2.190,,h264,640x480,25.0,有音频,1.0,False,False,0,0
,http://stream8.jlntv.cn/hctv/sd/live.m3u8,,,3.027,,h264,720x576,25.0,有音频,1.0,False,False,0,0
,http://stream.hrbtv.net/yspd/sd/live.m3u8,,,2.579,,h264,640x480,25.0,有音频,1.0,False,False,0,0
,http://stream.hrbtv.net/xwzh/sd/live.m3u8,,,3.661,,h264,640x480,25.0,有音频,1.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/10326-1.m3u8,,,8.988,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://live.kanwz.net/zhpd/sd/live.m3u8,,,5.718,,h264,320x240,25.0,有音频,1.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11622-1.m3u8,,,10.563,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://stream.hrbtv.net/shpd/sd/live.m3u8,,,3.419,,h264,640x480,25.0,有音频,1.0,False,False,0,0
,https://jwcdnqx.hebyun.com.cn/live/cdsggshtv/1500k/tzwj_video.m3u8,,,3.721,,h264,960x540,25.0,有音频,1.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/10106-1.m3u8,,,7.186,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://stream5.jlntv.cn/sl/sd/live.m3u8,,,3.223,,h264,720x576,25.0,有音频,1.0,False,False,0,0
,http://live.ahsz.tv/video/s10001-szzh/index.m3u8,,,15.428,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://live.dxhmt.cn:9080/13603832636/13abd3089d9c47058fe34c49a6182981.m3u8,,,11.382,,h264,480x270,25.0,有音频,1.0,False,False,0,0
,https://jwcdnqx.hebyun.com.cn/live/luquanyi/1500k/tzwj_video.m3u8,,,3.481,,h264,1280x720,25.0,有音频,1.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/10621-1.m3u8,,,4.898,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/10727-1.m3u8,,,7.184,,h264,1920x1080,25.0,有音频,1.0,False,False,0,0
,https://jwcdnqx.hebyun.com.cn/live/lsdst/1500k/tzwj_video.m3u8,,,3.512,,h264,960x540,25.0,有音频,1.0,False,False,0,0
