频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间,是否假源,是否轮回,轮回相似度,检测信息
河北少儿科教,https://stream1.freetv.fun/he-bei-shao-er-ke-jiao-12.m3u8,,河北少儿科教,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/河北少儿科教.png,🪁动画频道,1280x720,Guovin.txt,6,403,成功,h264,1280x720,25.0,有音频,1.365,否,否,0.5000,
[BD]pursuit channel,https://stream1.freetv.fun/pursuit-channel-2.m3u8,,CHANNEL [V],台灣,英文,https://epg.pw/media/images/channel/2022/08/06/large/20220806161730161952_53.jpg,音樂,1920x1080,freetv-fun-tw.txt,55,403,成功,h264,1920x1080,29.97002997002997,有音频,2.926,否,否,0.5156,
长白山电视台,http://stream8.jlntv.cn/cbstv/sd/live.m3u8?zjild,,长白山电视台,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/长白山电视台.png,☘️吉林频道,320x240,Guovin.txt,2113,200,成功,h264,320x240,25.0,有音频,2.608,否,否,0.8229,
太谷新闻综合,http://p2.vzan.com/slowlive/596867413819827251/live.m3u8,,太谷新闻综合,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/太谷新闻综合.png,☘️山西频道,1920x1080,Guovin.txt,2264,200,成功,h264,1920x1080,25.0,有音频,3.408,否,否,0.5781,
电影•2「解说」,https://live.iill.top/huya/24983280,,,,,https://epg-1.iill.top/logo/虎牙.png,•影视「轮播」,1920x1080,YanG-1989.txt,33,403,成功,h264,1920x1080,25.0,有音频,3.994,否,否,0.5104,
CHC家庭影院,http://eastscreen.tv/ooooo.php,,CHC家庭影院,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/CHC家庭影院.png,🎬电影频道,640x480,Guovin.txt,1614,200,成功,mpeg2video,640x480,25.0,无音频,0.771,否,否,0.7448,
安徽国际,https://stream1.freetv.fun/an-hui-guo-ji-16.m3u8,,安徽国际,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/安徽国际.png,☘️安徽频道,1280x720,Guovin.txt,7,403,成功,h264,1280x720,25.0,有音频,1.149,否,否,0.0000,all_grab_failed
黑龙江少儿,https://ls.qingting.fm/live/4972/64k.m3u8,,黑龙江少儿,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/黑龙江少儿.png,☘️黑龙江频道,,Guovin.txt,823,200,成功,h264,,,有音频,2.805,否,否,0.0000,all_grab_failed
西宁生活服务,https://stream1.freetv.fun/xi-zhu-sheng-huo-fu-wu-2.m3u8,,西宁生活服务,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/西宁生活服务.png,☘️青海频道,1920x1080,Guovin.txt,54,403,成功,h264,1920x1080,25.0,有音频,7.926,否,否,0.5521,
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-9.m3u8,,东森超视,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/东森超视.png,🌊港·澳·台,1280x720,Guovin.txt,9,403,成功,h264,1280x720,25.0,有音频,1.103,否,否,0.5000,
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2,,天映经典,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/天映经典.png,🎬电影频道,854x480,Guovin.txt,199,200,成功,h264,854x480,25.0,有音频,0.760,否,否,0.5469,
西宁新闻综合,https://liveout.xntv.tv/a65jur/96iln2.m3u8?zqinghd,,西宁新闻综合,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/西宁新闻综合.png,☘️青海频道,1920x1080,Guovin.txt,2705,200,成功,h264,1920x1080,25.0,有音频,5.669,否,否,0.5729,
魅力足球,https://www.freetv.top/migu/796070308.m3u8?migutoken=f4f71100ed3cd756f336e1f3b6d522c1338ee1ffd14316eea89e461d4e31e29395a265a9f1ec26b947fb0e7dc16296db47ae3bfea73caaee6901d17bfede63775878c0ab44c872939ba5b53baf,,魅力足球,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/魅力足球.png,🏀体育频道,1920x1080,Guovin.txt,2860,200,成功,h264,1920x1080,30.0,有音频,1.608,否,否,0.5000,
火影忍者,http://cdn.jdshipin.com:8880/huya.php?id=29465866,,火影忍者,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/火影忍者.png,🪁动画频道,1920x1080,Guovin.txt,5527,200,成功,h264,1920x1080,25.0,有音频,19.361,否,否,0.5052,
游戏风云,https://www.freetv.top/migu/790188417.m3u8?migutoken=0276ef43726b0a3df46f95059cfba0dc88fb58e0682005aef78c7fcce5c7101a4d1199cd5aa05c58eaed75bf3a107385ce216cf787ceb58c1839c276b121b05b72a1ec8d7c6f23c240511643c0,,游戏风云,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/游戏风云.png,🎮游戏频道,1920x1080,Guovin.txt,272,200,成功,h264,1920x1080,30.0,有音频,0.912,否,否,0.5000,
靖天资讯,https://cdn.iptv8k.top/dl/jrys.php?id=315&time=20240926215313&ip=111.229.253.40,,靖天资讯,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/靖天资讯.png,🌊港·澳·台,1920x1080,Guovin.txt,142,200,成功,h264,1920x1080,60.0,无音频,0.506,否,否,0.5417,
云南娱乐,http://yp.qqqtv.top/1/api.php?id=%E4%BA%91%E5%8D%97%E5%A8%B1%E4%B9%90&auth=666858,,云南娱乐,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/云南娱乐.png,☘️云南频道,1280x720,Guovin.txt,3913,200,成功,h264,1280x720,25.0,有音频,5.540,否,否,0.5573,
翡翠台,https://cdn.iptv8k.top/dl/jrys.php?id=3&time=20240926215313&ip=111.229.253.40,,翡翠台,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/翡翠台.png,🌊港·澳·台,1920x1080,Guovin.txt,143,200,成功,h264,1920x1080,60.0,无音频,0.516,否,否,0.5417,
经典电影,https://yylunbo.ottiptv.cc/yy/1414812324,,经典电影,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/经典电影.png,🎬电影频道,1920x1080,Guovin.txt,1539,200,成功,h264,1920x1080,30.0,有音频,0.816,否,否,0.5000,
漫画解说,https://yylunbo.ottiptv.cc/yy/1382735568,,漫画解说,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/漫画解说.png,🪁动画频道,1280x720,Guovin.txt,6763,200,成功,h264,1280x720,30.0,有音频,4.280,否,否,0.6146,
跳舞「其他」,https://live.iill.top/huya/24634408,,,,,https://epg-1.iill.top/logo/虎牙.png,•影视「轮播」,1920x1080,YanG-1989.txt,33,403,成功,h264,1920x1080,25.0,有音频,3.152,否,否,0.5104,
NewTV动作电影,https://iptv.catvod.com/live.php?id=NewTV%E5%8A%A8%E4%BD%9C%E7%94%B5%E5%BD%B1,,NewTV动作电影,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/NewTV动作电影.png,🎬电影频道,1920x1080,Guovin.txt,31,403,成功,h264,1920x1080,30.0,有音频,0.475,否,否,0.5156,
岳西综合,http://yp.qqqtv.top/1/api.php?id=%E5%B2%B3%E8%A5%BF%E7%BB%BC%E5%90%88%E9%A2%91%E9%81%93&auth=666858,,岳西综合,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/岳西综合.png,☘️安徽频道,1920x1080,Guovin.txt,6015,200,成功,h264,1920x1080,30.0,有音频,7.547,否,否,0.6042,
纬来电影,https://live.catvod.com/live.php?id=videolandmovie&token=a76bdc035b650a1c05ec1f7fb9f26ae2f5af7dd30a77937811b00e06d85b6954%3A1760491003%3ANTIuMTUwLjI5Ljk4,,纬来电影,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/纬来电影.png,🎬电影频道,1920x1080,Guovin.txt,33,403,成功,hevc,1920x1080,30.0,有音频,3.142,否,否,0.6042,
魅力足球,https://www.freetv.top/migu/796070308.m3u8?migutoken=aef1ffa947e5328dd4ec2bb318b58b674fe32113222c6c9eab78bcdc2a9f31cf142a1d60536ea5a5ee039d3753e6bd98bef238d0ba7e3af9153e765e8b77e2a8c28451355b4a426d11c5c304f8,,魅力足球,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/魅力足球.png,🏀体育频道,1920x1080,Guovin.txt,2871,200,成功,h264,1920x1080,30.0,有音频,1.026,否,否,0.5000,
定襄综合,http://lbyzztfe.live.sxmty.com/live/hls/645ff4c60e0a49f0a203abbd73dd8be9/0720e665f10f48e98c9639f4f492fb4a-1.m3u8?zshanxd,,定襄综合,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/定襄综合.png,☘️山西频道,1280x720,Guovin.txt,5076,200,成功,h264,1280x720,30.0,有音频,5.680,否,否,0.5990,
CN卡通,https://cdn.iptv8k.top/dl/jrys.php?id=364&time=20240926215313&ip=111.229.253.40,,CN卡通,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/CN卡通.png,🪁动画频道,1920x1080,Guovin.txt,1069,200,成功,h264,1920x1080,60.0,无音频,0.398,否,否,0.5417,
天映经典,https://cdn.iptv8k.top/dl/jrys.php?id=71&time=20240926215313&ip=111.229.253.40,,天映经典,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/天映经典.png,🎬电影频道,1920x1080,Guovin.txt,145,200,成功,h264,1920x1080,60.0,无音频,1.633,否,否,0.5417,
精品体育,https://epg.pw/stream/f7556eccd4ae06b0c2991fdc7a4f8388496559f728cc82459a8e50346040e226.m3u8,,精品体育,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/精品体育.png,🏀体育频道,1280x720,Guovin.txt,851,520,成功,h264,1280x720,25.0,有音频,1.774,否,否,0.5104,
辉南新闻综合,http://stream5.jlntv.cn/hn/sd/live.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD],,辉南新闻综合,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/辉南新闻综合.png,☘️吉林频道,720x576,Guovin.txt,1028,200,成功,h264,720x576,25.0,有音频,3.131,否,否,0.5625,
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2,,凤凰资讯,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/凤凰资讯.png,🌊港·澳·台,1280x720,Guovin.txt,153,200,成功,h264,1280x720,30.0,有音频,0.701,否,否,0.6094,
纬来育乐,https://live.catvod.com/live.php?id=videolandyule&token=fe5d6c1a6329ce8ba25d86d34ce097a5e62e5c9607f3492bd98e2512fed69ebe%3A1760491003%3ANTIuMTUwLjI5Ljk4,,纬来育乐,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/纬来育乐.png,🌊港·澳·台,1920x1080,Guovin.txt,37,403,成功,h264,1920x1080,30.0,有音频,1.690,否,否,0.5156,
