频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,帧率,音频,ffprobe探测时间,筛除原因,是否灰区,灰区原因,灰区建议动作,动态值（阈值 ≤ 10）,主phash总出现次数,主phash占比,主phash值,前三主phash重复比例（阈值 ≥ 70%）,锚点一致率-2秒（阈值 ≥ 95%）,锚点一致率-32秒（阈值 ≥ 95%）,静态评分,最近一次动态分,历史动态稳定分,内容集中度分,锚点软加分,当前置信度,历史置信度,首次出现时间,轮播_筛除原因
[HD]cctv17hd,https://t.freetv.fun/live/cctv17hd-1.m3u8,,,,,CCTV17,China,China,https://epg.pw/media/images/channel/2025/01/25/large/20250125001508671387_16.jpg,Other,1280x720,freetv-fun-all.txt,20,403,成功,h264,25.0,有音频,0.637,未筛除,否,,,33.33,6,0.0175,df3b854cb1379a08,5.26%,1.75%,1.75%,39.36,66.67,38.23,5.26,1.75,6,1.0000,2026-06-20 14:44:00,未筛除
[HD]cctv-8k超高清,https://t.freetv.fun/live/cctv-8kchao-gao-qing-2.m3u8,,,,,CCTV 8K,China,China,https://epg.pw/media/images/channel/2025/01/28/large/20250128055557713287_44.png,Generic,1280x720,freetv-fun-all.txt,6,403,成功,h264,25.0,有音频,0.680,未筛除,否,,,33.33,32,0.0936,f44a9fc816fb2017,22.22%,12.28%,10.53%,41.27,66.67,30.05,22.22,11.40,6,1.0000,2026-06-25 03:35:00,未筛除
[BD]cctv-10hd,https://t.freetv.fun/live/cctv-10hd.m3u8,,,,,CCTV10,China,China,https://epg.pw/media/images/channel/2025/01/25/large/20250125001612572151_13.png,Other,1920x1080,freetv-fun-all.txt,15,403,成功,h264,25.0,有音频,0.669,未筛除,否,,,0.00,7,0.0205,e18af0c913cf3e61,5.85%,3.51%,1.75%,54.28,100.00,42.82,5.85,2.63,6,1.0000,2026-06-23 05:00:00,未筛除
[HD]cctv-6hd,https://t.freetv.fun/live/cctv-6hd-1.m3u8,,,,,CCTV6,China,China,https://epg.pw/media/images/channel/2025/01/25/large/20250125001735955364_69.png,Movies,1920x1080,freetv-fun-all.txt,20,403,成功,h264,25.0,有音频,0.715,未筛除,否,,,80.00,6,0.0179,cae8691e37391517,5.36%,1.79%,1.79%,17.00,20.00,25.83,5.36,1.79,6,1.0000,2026-06-20 01:13:00,未筛除
[BD]cctv-1,https://t.freetv.fun/live/cctv-1-1.m3u8,,,,368552,CCTV1(RTHK33),Hong Kong,Hong Kong,https://epg.pw/media/images/channel/2024/05/16/large/20240516043525045887_55.png,News,1920x1080,freetv-fun-all.txt,15,403,成功,h264,25.0,有音频,0.819,未筛除,否,,,0.00,6,0.0175,ab7e0c14372bcb86,5.26%,1.75%,1.75%,53.26,100.00,40.12,5.26,1.75,6,1.0000,2026-07-04 00:15:00,未筛除
[BD]cctv-4hd,https://t.freetv.fun/live/cctv-4hd-1.m3u8,,,,,CCTV4 FHD,China,China,https://epg.pw/media/images/channel/2025/01/25/large/20250125001917639668_91.png,News,1920x1080,freetv-fun-all.txt,23,403,成功,h264,25.0,有音频,0.892,未筛除,否,,,0.00,6,0.0175,f6a6e9a293d89c88,5.26%,1.75%,1.75%,54.52,100.00,44.29,5.26,1.75,6,1.0000,2026-07-04 00:15:00,未筛除
[HD]cctv-4中文国际,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji-9.m3u8,,,,,CCTV4中文國際歐洲,China,China,https://epg.pw/media/images/channel/2025/01/25/large/20250125001905740569_14.jpg,Generic,1280x720,freetv-fun-all.txt,25,403,成功,h264,25.0,有音频,0.986,未筛除,否,,,53.33,6,0.0179,848494853b3f3b3f,5.06%,1.85%,1.85%,28.39,46.67,28.43,5.06,1.85,6,0.9643,2026-06-20 01:13:00,未筛除
[BD]tvbs新聞,https://stream1.freetv.fun/a16ffa27fda82552af49c3a429909ce01ead0bda46f726ebb1300413f8e98cc3.m3u8,,,,370174,TVBS新聞HD,台灣,國語,https://epg.pw/media/images/channel/2025/01/28/large/20250128055934838968_50.png,新聞,1920x1080,epg-pw.txt,16,403,成功,h264,30.0,有音频,1.093,未筛除,否,,,93.33,4,0.1667,96bd23d043be1cca,41.67%,25.00%,25.00%,18.40,6.67,16.33,41.67,25.00,6,1.0000,2026-07-01 19:55:00,未筛除
[HD]cctv-16hd,https://t.freetv.fun/live/cctv-16hd-3.m3u8,,,,,CCTV16,China,China,https://epg.pw/media/images/channel/2025/01/25/large/20250125001520864227_20.jpg,Sports,1280x720,freetv-fun-all.txt,18,403,成功,h264,25.0,有音频,0.466,未筛除,否,,,73.33,6,0.0175,e8e84742ee2e199b,5.26%,1.82%,1.82%,20.76,26.67,29.53,5.26,1.82,6,0.9649,2026-06-24 01:10:00,未筛除
[BD]channel y,https://t.freetv.fun/live/channel-y.m3u8,,,,,CHANNEL [V],台灣,台灣,https://epg.pw/media/images/channel/2022/08/06/large/20220806161730161952_53.jpg,音樂,1920x1080,freetv-fun-tw.txt,17,403,成功,h264,29.97002997002997,有音频,1.116,未筛除,否,,,0.00,6,0.0175,94b2eab571c26b34,5.26%,1.75%,1.75%,48.89,100.00,25.54,5.26,1.75,6,1.0000,2026-07-04 00:15:00,未筛除
