频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,帧率,音频,ffprobe探测时间,筛除原因,是否灰区,灰区原因,灰区建议动作,动态值（阈值 ≤ 10）,主phash总出现次数,主phash占比,主phash值,前三主phash重复比例（阈值 ≥ 70%）,锚点一致率-2秒（阈值 ≥ 95%）,锚点一致率-32秒（阈值 ≥ 95%）,静态评分,最近一次动态分,历史动态稳定分,内容集中度分,锚点软加分,当前置信度,历史置信度,首次出现时间,轮播_筛除原因
[BD]tvbs-asia,https://t.freetv.fun/live/tvbs-asia.m3u8,,,,3509,TVBS Asia,台灣,台灣,https://epg.pw/media/images/channel/2022/03/02/large/20220302213708363097_69.jpg,綜合,1920x1080,freetv-fun-tw.txt,29,403,成功,h264,29.97002997002997,有音频,1.552,未筛除,否,,,80.00,4,0.0180,f98370ce6670e3b0,4.50%,2.70%,2.70%,11.33,20.00,7.19,4.50,2.70,6,1.0000,2026-03-08 01:39:00,未筛除
[BD]cctv-16hd,https://t.freetv.fun/live/cctv-16hd.m3u8,,,,,CCTV16,China,China,https://epg.pw/media/images/channel/2025/01/25/large/20250125001520864227_20.jpg,Sports,1920x1080,freetv-fun-all.txt,21,403,成功,h264,25.0,有音频,1.776,未筛除,否,,,53.33,6,0.0625,b946b96499b64d1a,18.75%,6.25%,6.25%,36.60,46.67,45.21,18.75,6.25,6,1.0000,2026-03-11 16:37:00,未筛除
[HD]cnn int,https://t.freetv.fun/live/cnn-int-2.m3u8,,,,464857,CNN HD,United States,United States,https://epg.pw/media/images/channel/2019/01/13/large/20190113215800701920_63.jpg,News,1280x720,freetv-fun-all.txt,25,403,成功,h264,29.97002997002997,有音频,1.918,未筛除,否,,,0.00,54,0.2432,98f873072368cced,29.73%,24.32%,24.32%,58.29,100.00,33.05,29.73,24.32,6,1.0000,2026-03-01 16:08:00,未筛除
[BD]cctv-7hd,https://t.freetv.fun/live/cctv-7hd-1.m3u8,,,,,CCTV7,China,China,https://epg.pw/media/images/channel/2025/01/25/large/20250125001726519561_49.png,Other,1920x1080,freetv-fun-all.txt,28,403,成功,h264,25.0,有音频,1.988,未筛除,否,,,0.00,6,0.0625,c0bcc8deb1ccb507,18.75%,6.25%,6.25%,59.77,100.00,51.33,18.75,6.25,6,1.0000,2026-03-15 16:35:00,未筛除
[BD]abc,https://t.freetv.fun/live/abc.m3u8,,,,,ABC 7,United States,United States,https://epg.pw/media/images/channel/2016/06/22/large/20160622232611202416_43.jpg,News,1920x1080,freetv-fun-all.txt,24,403,成功,hevc,30.0,有音频,2.039,未筛除,否,,,0.00,6,0.0270,cc99991b66666693,8.11%,2.70%,2.70%,54.19,100.00,40.99,8.11,2.70,6,1.0000,2026-03-15 16:35:00,未筛除
[BD]cctv7-军事农业,https://t.freetv.fun/live/cctv7-jun-shi-nong-ye-1.php,,,,,CCTV7,China,China,https://epg.pw/media/images/channel/2025/01/25/large/20250125001726519561_49.png,Other,1920x1080,freetv-fun-all.txt,29,403,成功,h264,25.0,有音频,2.375,未筛除,否,,,,,,,,,,,,,,,,,,未筛除
[BD]Astro AEC *b,https://t.freetv.fun/live/astro-aec-b.m3u8,,,,2226,Astro AEC,Malaysia,Malaysia,https://epg.pw/media/images/channel/2016/06/13/large/20160613221915401269_45.jpg,Generic,1920x1080,freetv-fun-all.txt,429,403,成功,h264,50.0,有音频,2.471,未筛除,否,,,0.00,6,0.5000,b4dd392593945e4a,100.00%,50.00%,50.00%,95.00,100.00,100.00,100.00,50.00,6,1.0000,2026-03-15 16:35:00,评分阈值超限筛除
[BD]cctv-8hd,https://t.freetv.fun/live/cctv-8hd.m3u8,,,,,CCTV 8K,China,China,https://epg.pw/media/images/channel/2025/01/28/large/20250128055557713287_44.png,Generic,1920x1080,freetv-fun-all.txt,21,403,成功,h264,25.0,有音频,0.732,未筛除,否,,,53.33,6,0.0625,91742c936e2d536b,18.75%,6.25%,6.25%,39.58,46.67,55.12,18.75,6.25,6,1.0000,2026-03-09 16:37:00,未筛除
[BD]cmc,https://t.freetv.fun/live/cmc-1.m3u8,,,,,CMC Party Croatia,Croatia,Croatia,https://epg.pw/media/uploads/tmp_logo/2014/05/30/20140530201707423147_98.png,Entertainment,1920x1080,freetv-fun-all.txt,30,403,成功,h264,29.97002997002997,有音频,2.775,未筛除,否,,,93.33,6,0.0270,b1d06c624cc5e5db,5.41%,2.70%,2.70%,7.05,6.67,10.09,5.41,2.70,6,1.0000,2026-03-01 01:20:00,未筛除
[HD]cgtv,https://t.freetv.fun/live/cgtv.m3u8,,,,,CGCTV,Canada,Canada,https://epg.pw/media/uploads/tmp_logo/2014/08/22/20140822124316882229_60.jpg,News,1280x720,freetv-fun-all.txt,25,403,成功,h264,29.97002997002997,有音频,3.641,未筛除,否,,,33.33,6,0.0270,db666d64929b6509,8.11%,2.70%,2.70%,39.00,66.67,34.81,8.11,2.70,6,1.0000,2026-03-01 01:20:00,未筛除
